Timestep,Probs
1,"[0.2128279883381921, 0.19241982507288607, 0.20408163265306095, 0.20408163265306095, 0.18658892128279864]"
2,"[0.2585437137553576, 0.2696875773637294, 0.2682020405993341, 0.15973240190045088, 0.04383426638112722]"
3,"[0.09495359836463109, 0.6792743781748103, 0.11830703946567006, 0.09288405820257274, 0.014580925792316212]"
4,"[0.254408100885871, 0.2720815389398286, 0.4204938591021225, 0.038882747145548416, 0.01413375392663053]"
5,"[0.5320774749920774, 0.08004338683678475, 0.3718187291726214, 0.014858969460056838, 0.001201439538459878]"
6,"[0.5755812458737554, 0.01090173539393547, 0.40697633594332605, 0.006540675791133075, 6.9978480579082085e-9]"
7,"[0.15286911001380007, 0.02412974175902943, 0.8217938339730122, 0.0012073142541146344, 4.2794360038881405e-14]"
8,"[0.01195950794619719, 0.033815591555742916, 0.9538125278181646, 0.00041237250723481376, 1.726683636331346e-10]"
9,"[0.017879351123796662, 0.04747906727380999, 0.9346414810950482, 1.00507345858175e-7, 4.3940147960960374e-20]"
10,"[0.0018561965269928231, 0.05811099038652705, 0.9400328130864776, 3.6288240338500427e-16, 1.9607442025414522e-30]"
11,"[0.0003385837326838252, 0.0639180964930255, 0.9357433197645919, 8.826815499711295e-12, 8.728779677969811e-13]"
