Timestep,Probs
1,"[0.17171717171717174, 0.20202020202020207, 0.15151515151515152, 0.2727272727272728, 0.20202020202020207]"
2,"[0.20541674237913177, 0.24951888279136986, 0.01627944498666899, 0.3229242036864891, 0.2058607261563406]"
3,"[0.4423207904871764, 0.5449163638062064, 0.0007209538967276993, 0.007220512630270737, 0.004821379179618208]"
4,"[0.7216441912733261, 0.26802575272345136, 0.004844128410666859, 0.0028495442198691536, 0.00263638337268807]"
5,"[0.8513230876888254, 0.1281030979042717, 0.0, 0.010325566574561046, 0.010248247832341734]"
6,"[0.9987434596924307, 0.00041884675135136324, 0.0, 0.0004188468048666387, 0.00041884675135136324]"
7,"[0.9440611603850709, 0.018646279871643433, 0.0, 0.0003729255974328697, 0.036919634145853995]"
8,"[0.9106071879742139, 0.08760531328502043, 0.0, 1.7874987407676045e-5, 0.0017696237533599297]"
9,"[0.8594762939082619, 0.1246480195749261, 0.0, 0.015718240583096076, 0.00015744593371757804]"
10,"[0.830597317749133, 0.16897436153068154, 0.0, 0.00042616476432172, 2.1559558634064634e-6]"
11,"[0.8541123007602202, 0.14564337681410705, 0.0, 0.00024429340300064455, 2.9022673469236053e-8]"
12,"[0.8574297104805985, 0.14228511508625089, 0.0, 0.0002851405112677836, 3.392188145020106e-8]"
13,"[0.80189661690086, 0.1980983677348755, 0.0, 5.014767681623302e-6, 5.965843088685088e-10]"
14,"[0.6067673094858289, 0.37783870758986676, 0.0, 0.015089151579363524, 0.0003048313449405081]"
15,"[0.8692836382888349, 0.025238862309334708, 0.0, 0.10338883604733848, 0.0020886633544916875]"
16,"[0.9566494863047668, 0.04153258998555764, 0.0, 0.0015382431444536237, 0.0002796805652207106]"
17,"[0.9571866860020445, 0.04279439323775738, 0.0, 1.6009874013358434e-5, 2.9108861842469713e-6]"
18,"[0.97062739751309, 0.02937245109254026, 0.0, 1.211228270611334e-7, 3.027154312435213e-8]"
19,"[0.967790183111341, 0.03220981521209748, 0.0, 1.3412514211872193e-9, 3.3531073283844525e-10]"
20,"[0.22988991945464382, 0.7701100801803357, 0.0, 2.8404048624549595e-10, 8.097982521071754e-11]"
21,"[0.0007192875402643182, 0.9969807683490522, 0.0, 0.0019411883498591477, 0.00035875576082318754]"
