Timestep,Probs
1,"[0.21081081081081085, 0.20810810810810815, 0.1675675675675676, 0.19729729729729734, 0.21621621621621626]"
2,"[0.08556241599028137, 0.18092665882295408, 0.07041054550946738, 0.4073075246378203, 0.2557928550394768]"
3,"[0.04302140715220145, 0.29551280376806793, 0.1283257240586365, 0.22643561533426837, 0.30670444968682564]"
4,"[0.025668873247834532, 0.34797604707804564, 0.16633581653324395, 0.11796544527685551, 0.34205381786402056]"
5,"[0.011253635819597742, 0.23019206973016346, 0.4381730727098922, 0.02745490261937082, 0.29292631912097516]"
6,"[0.0004441807149744497, 0.1545386187098445, 0.5803657651233312, 0.0008888326085288763, 0.26376260284332115]"
7,"[0.00022748608125902205, 0.05259248672055719, 0.8274711025624132, 3.467359300378642e-7, 0.11970857789984074]"
8,"[1.2634567821487625e-10, 0.07130533928136237, 0.7178229130074367, 9.322909350737733e-8, 0.2108716543557628]"
9,"[8.218317112270007e-19, 0.15228475468579122, 0.5747410108037164, 3.935587790151354e-12, 0.2729742345065539]"
10,"[1.0118982088362247e-11, 0.18975285584917267, 0.5124843169775273, 5.312062208242469e-6, 0.29775751510097287]"
11,"[1.5797822155521538e-18, 0.10379734302537368, 0.6315223550328827, 6.800330686920589e-11, 0.2646803018737398]"
12,"[1.6693007620413053e-12, 0.06988214863151793, 0.8142891414408167, 3.652430067346393e-10, 0.11582870956075411]"
13,"[2.1548396383764727e-17, 0.08140430442003345, 0.8743914565348395, 1.9423115532544727e-16, 0.04420423904512793]"
14,"[1.1388124004671772e-5, 0.089485444699968, 0.8736041342126553, 1.7386399586640406e-9, 0.03689903122473523]"
15,"[4.358873169366808e-11, 0.01105687347490944, 0.952643537440122, 9.12736544393842e-18, 0.03629958904138002]"
16,"[5.523847434351701e-6, 0.004021368499264725, 0.9879240255472196, 1.6920445110522344e-9, 0.008049080414041137]"
17,"[1.782959520212738e-12, 1.0528177860280232e-7, 0.9994623259505063, 2.4759506389531388e-15, 0.000537568765926363]"
18,"[6.53963258201429e-21, 3.4754287982820956e-15, 0.9999272749512906, 1.3672749417073414e-26, 7.272504870490002e-5]"
19,"[9.397526843332222e-12, 1.8807944669988316e-12, 0.9996354203576768, 1.0570606325833149e-12, 0.00036457962998249956]"
