Timestep,Probs
1,"[0.19426751592356686, 0.16878980891719744, 0.21974522292993628, 0.20700636942675157, 0.21019108280254775]"
2,"[0.21082851083284465, 0.16825928000532683, 0.07418686601650082, 0.27134300691911656, 0.275382336226211]"
3,"[0.42485000000635675, 0.35994354340740314, 0.0176394095493061, 0.10117204322196624, 0.09639500381496714]"
4,"[0.42921523053435584, 0.2974002086114346, 0.01707733092825633, 0.06804083355636736, 0.188266396369587]"
5,"[0.4541007320378128, 0.2190330751711329, 2.7616338624106868e-5, 0.0826393249523491, 0.24419925150008276]"
6,"[0.7750694462233964, 0.10130989341104257, 2.6032178921950905e-11, 0.02989409751558477, 0.0937265628239411]"
7,"[0.9479270888056743, 0.01976304614694928, 1.1278154431420701e-20, 0.007867530688595439, 0.02444233435878313]"
8,"[0.929772516701542, 0.02609776154554103, 8.879697264902372e-14, 0.003001763158602238, 0.04112795859423034]"
9,"[0.9639661294360237, 0.024606747931289856, 2.1116560624542746e-24, 4.1614664775493473e-7, 0.01142670648604134]"
10,"[0.9405245112932261, 0.0452303627042796, 1.801164047987361e-13, 7.659933976719756e-8, 0.014245049402979538]"
11,"[0.9751463507192124, 0.009966578357203286, 8.399956309096498e-24, 1.8999508417639736e-11, 0.014887070904585839]"
12,"[0.9905499762400779, 0.009449806858770901, 1.1297766485606569e-35, 6.143025827345776e-17, 2.1690115296399106e-7]"
13,"[0.9999995975993483, 3.081178912149624e-7, 1.928915546350812e-9, 1.546648079024179e-8, 7.688735615302227e-8]"
14,"[0.9999999995185991, 4.284917359097408e-10, 1.0079840884139835e-17, 8.062794424402719e-15, 5.290062020845605e-11]"
15,"[0.9999997683221351, 1.8149024406318535e-8, 5.192606431393404e-11, 1.4697222167940185e-7, 6.650469381181167e-8]"
16,"[0.999999999999912, 2.195973870699379e-15, 3.1945231596279603e-19, 8.436418373620986e-14, 2.698157355824855e-16]"
17,"[0.9999999774962591, 2.025082568669912e-8, 2.8096068943565514e-12, 1.0227864211139862e-9, 1.227326320505211e-9]"
18,"[0.9999999999999165, 8.169415856626901e-14, 9.609757270627606e-24, 3.718483523700687e-17, 4.590643432921705e-17]"
19,"[1.0000000000000002, 2.1410202525230552e-16, 3.811597560310268e-33, 1.2952606716600067e-23, 1.165932049720071e-22]"
20,"[0.9939914094803364, 0.006008590448828018, 5.9290930030667615e-12, 7.915086871799901e-13, 6.412010898878706e-11]"
21,"[0.9923621205094388, 0.0076378794905558505, 1.2819039500593672e-19, 2.146858425280603e-23, 2.5481929608695076e-19]"
