Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.2138081517384918, 0.21419874338251005, 0.14989187961967307, 0.21199252708738311, 0.21010869817194197]"
3,"[0.22751498380645394, 0.22613290411427228, 0.13262814632040215, 0.2297475645558095, 0.18397640120306205]"
4,"[0.22817317428215428, 0.22568654431258067, 0.13270485153102343, 0.23191944914301582, 0.18151598073122582]"
5,"[0.37850604511987296, 0.37414493585023784, 0.2181516931109029, 0.016963792544741372, 0.012233533374244794]"
6,"[0.06766428247904563, 0.8883118677077484, 0.038664222468643344, 0.003058104953399022, 0.002301522391163469]"
7,"[0.002031956388554316, 0.9964284564805884, 0.001366047053396029, 9.282704086919785e-5, 8.071303659192349e-5]"
8,"[0.02139093606917852, 0.965448453474536, 0.01163490205018481, 0.0008942942298659017, 0.000631414176234935]"
9,"[0.12682530793965596, 0.7795650583591767, 0.08462983202190572, 0.005122535356563995, 0.0038572663226977386]"
10,"[0.46555789249817137, 0.2220003182144002, 0.3110278434699938, 0.0008521438638584943, 0.0005618019535760484]"
11,"[0.593176317404373, 0.008053334042851577, 0.39869408180246163, 5.1485836006841695e-5, 2.4780914306841646e-5]"
12,"[0.3588720526286444, 0.0008197902009300685, 0.6402957467064738, 8.42878669644134e-6, 3.981677255239358e-6]"
13,"[0.04918376057615444, 5.131696051448797e-5, 0.9507642791972992, 4.17038822239894e-7, 2.2622720950687854e-7]"
