Timestep,Probs
1,"[0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015, 0.20000000000000015]"
2,"[0.13002364303416386, 0.2364066184801, 0.2340425532500533, 0.2364066184801, 0.16312056675558384]"
3,"[7.630429000467217e-5, 0.1979612931907245, 0.34371375296538126, 0.44779176583228036, 0.010456883721610294]"
4,"[3.121913344448916e-7, 0.20342667437070633, 0.33404689864471865, 0.4625261147926104, 6.31127473923559e-13]"
5,"[8.133518918453844e-15, 0.0393994093045232, 0.39368990768818707, 0.5669106830072844, 1.6424058614485404e-20]"
6,"[3.442159396300503e-26, 9.263735772135837e-10, 0.2867383534650984, 0.7132616456085286, 1.925421330709237e-34]"
7,"[4.001976650124275e-40, 3.072011493347511e-17, 0.03398903858892324, 0.9660109614110725, 1.178196549709778e-49]"
8,"[2.3912265634258246e-50, 3.268544582237928e-22, 0.019704434232546725, 0.9802955657674559, 1.950093604395008e-62]"
9,"[3.9785645266882876e-63, 7.057069947318298e-30, 2.9305210101494297e-6, 0.9999970694789934, 6.164730167471381e-74]"
10,"[5.004551371394296e-81, 2.4313676569343347e-42, 8.695139701380468e-17, 1.0000000000000018, 5.318953745528658e-88]"
11,"[6.263466201811736e-99, 1.4263335884912008e-51, 5.1134307204262884e-27, 1.000000000000002, 1.6482805864515846e-99]"
