Timestep,Probs
1,"[0.18200000000000013, 0.20000000000000015, 0.18600000000000014, 0.22400000000000017, 0.20800000000000016]"
2,"[0.13084115812163433, 0.16510918620286777, 0.1869159011873858, 0.267912635405936, 0.24922111908217573]"
3,"[0.1863325343357223, 0.159917088291075, 0.08061806916769484, 0.5324788212296144, 0.040653486975892335]"
4,"[0.1926121987334635, 0.17941932789172463, 0.031664588957441286, 0.5488044071457744, 0.04749947727159779]"
5,"[0.008993958514723727, 0.02609365592264239, 0.05145791295587323, 0.8362675868543685, 0.07718688575239585]"
6,"[0.00689662357500404, 6.656588445934164e-8, 0.020689737088876285, 0.8965515562281902, 0.07586201654204212]"
7,"[0.007633187268270375, 1.0949321090506024e-11, 3.4902549745291286e-6, 0.9160302875488331, 0.07633303491697119]"
8,"[0.008771927986932585, 8.441917019099643e-20, 1.039555109392017e-14, 0.9473684229090843, 0.0438596491039712]"
9,"[0.0089684412568669, 7.153707152686501e-12, 5.209441650218611e-10, 0.9551560798573016, 0.03587547835773798]"
10,"[4.401554447466112e-8, 1.502476466024156e-21, 2.587825255650839e-16, 0.15790001702107906, 0.8420999389633745]"
11,"[8.365751362390582e-16, 0.0, 2.000656471401101e-9, 0.0007204904131101243, 0.9992795075862337]"
12,"[7.974725784332617e-16, 0.0, 6.450679216973297e-14, 3.8090615709519755e-9, 0.9999999961908659]"
13,"[3.5241479268085227e-29, 0.0, 2.2839959736231223e-25, 7.963801532775989e-16, 0.9999999999999925]"
