Timestep,Probs
1,"[0.2162162162162159, 0.2162162162162159, 0.20120120120120094, 0.17117117117117103, 0.19519519519519496]"
2,"[0.21643209749725226, 0.20798112154605453, 0.21126749666276254, 0.14835689384828848, 0.21596239044564128]"
3,"[0.08520933790456568, 0.14855644132235982, 0.12801595310673783, 0.5259407654527435, 0.11227750221359288]"
4,"[0.06692043970436014, 0.13045246199653912, 0.05590839829371398, 0.6709031495424136, 0.0758155504629748]"
5,"[0.009092761874738687, 0.0502154274943814, 0.06427805857701009, 0.7760159689949289, 0.10039778305894022]"
6,"[0.0007038730112293026, 0.04684046112731668, 0.008625766504505836, 0.8345155855597576, 0.10931431379718934]"
7,"[5.091805525044957e-6, 0.04442088060490923, 0.0004124568544196425, 0.8655066872861658, 0.08965488344897661]"
8,"[2.2688213597042026e-14, 0.009682973241712729, 7.119800462805193e-5, 0.9169813070445682, 0.07326452170907154]"
9,"[5.2313331489356683e-20, 0.0005925297876735861, 1.6416477356758022e-9, 0.9345331403157555, 0.06487432825491704]"
10,"[1.2298831895570809e-29, 0.00016776940294140988, 2.53222041507674e-15, 0.6372302519004751, 0.3626019786965827]"
11,"[1.9402768267290733e-11, 1.4148719792716923e-8, 1.9671285899501886e-10, 0.17207646391088194, 0.8279235217242813]"
12,"[1.3587663452773755e-24, 6.499927865145524e-18, 9.917937685806048e-21, 0.023196954832349303, 0.9768030451676526]"
13,"[1.2310997848807269e-16, 1.9945336391345786e-14, 8.199261356170648e-13, 1.2310997848807007e-16, 0.999999999999162]"
