Timestep,Probs
1,"[0.20383693045563586, 0.19904076738609147, 0.1894484412470027, 0.21822541966426903, 0.1894484412470027]"
2,"[0.21564233460249435, 0.23363330494840576, 0.04922571486419787, 0.3088451824381843, 0.19265346314671736]"
3,"[0.233016795512479, 0.3276239904439605, 0.07916172607755913, 0.21115571098422137, 0.14904177698178012]"
4,"[0.20308501078045638, 0.38222705760670705, 0.03421407934359007, 0.21791651078427438, 0.16255734148497322]"
5,"[0.2790412095069932, 0.6551149651619711, 0.014270020029360255, 0.02954964614190433, 0.022024159159772363]"
6,"[0.4450095539614415, 0.5428486719943052, 0.0040274277804786, 0.004472429095840294, 0.0036419171679336585]"
7,"[0.5427335860125484, 0.4221122909829657, 0.013810125462466502, 0.007846824586409076, 0.013497172955612497]"
8,"[0.5376038798100704, 0.44602591154284366, 0.008699076987369578, 0.00047449511922570647, 0.007196636540490762]"
9,"[0.5262895128415662, 0.4726925145450587, 0.0005303906267684422, 2.9008623975142776e-5, 0.00045857336263402235]"
10,"[0.5010916223098866, 0.4922135840340052, 0.0005821564568758488, 0.0030563188612838664, 0.0030563183379514703]"
11,"[0.4998851692388232, 0.49661212913255215, 0.0001990916831709022, 0.0032850127723198525, 1.8597173131819206e-5]"
12,"[0.9516912443522263, 0.04793109209737063, 0.0003735195956868481, 2.0859954869760614e-6, 2.0579592271033563e-6]"
13,"[0.9972746450534882, 0.0027134960096554354, 1.1600810796729534e-5, 1.290630332156511e-7, 1.29063026231056e-7]"
