Timestep,Probs
1,"[0.19841269841269837, 0.2354497354497354, 0.17460317460317457, 0.2116402116402116, 0.17989417989417986]"
2,"[0.23201313669234905, 0.25264926658078485, 0.1622978107493734, 0.19408830448523506, 0.15895148149225788]"
3,"[0.45819408301104014, 0.3331751507781284, 0.09165935461288346, 0.051460005737285056, 0.06551140586066204]"
4,"[0.5904130322778763, 0.3567191576370323, 0.03606857541884849, 0.005928974867975392, 0.010870259798267974]"
5,"[0.6306303927872482, 0.36253620893568944, 0.004265512069603786, 0.000979965578148771, 0.0015879206293123807]"
6,"[0.6271532180583571, 0.37059949667595793, 0.0016854577432619522, 0.00023655170506897179, 0.00032527581735439037]"
7,"[0.21980506489152207, 0.7776336945171617, 1.5790636858401645e-6, 0.0012805333645189234, 0.0012791281631116013]"
8,"[0.14771250032355204, 0.8520923801065606, 6.217961463813738e-15, 0.00019511920267421286, 3.6720723883422694e-10]"
9,"[0.020778599603360936, 0.9787819928875501, 1.3739127903776897e-11, 0.0004394000326330982, 7.462718044623474e-9]"
10,"[0.017388800856268923, 0.9825518592370803, 2.5938965159657596e-18, 5.933990664850547e-5, 3.206727385458036e-19]"
11,"[0.059628710266080034, 0.9400595634528709, 3.9080612686494404e-27, 0.00031172628104547006, 2.0768649153387096e-21]"
12,"[0.2612686344706025, 0.7370987078944448, 6.181263651146097e-13, 0.0016127471753228822, 1.9910459005485453e-5]"
13,"[0.7947736285678104, 0.2052164294947008, 1.0234233660792431e-13, 1.212431750756589e-7, 9.820694213183047e-6]"
