Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.20110967798596194, 0.19563478506472626, 0.1811117157633923, 0.2135086178309347, 0.2086352033549848]"
3,"[0.1508412521840283, 0.18367563460893072, 0.15467296704321185, 0.34629960842190993, 0.16451053774191915]"
4,"[0.19233820526379902, 0.22700880050882694, 0.10587931238874818, 0.32071796743274295, 0.15405571440588292]"
5,"[0.12734916171488295, 0.14700840231528173, 0.10426658596618982, 0.44278940983954146, 0.17858644016410402]"
6,"[0.07131170619707178, 0.06402189015996376, 0.1344284593075619, 0.5617109415901939, 0.16852700274520876]"
7,"[0.01566803994151367, 0.016919251454194973, 0.03806231047361921, 0.7719197791581389, 0.15743061897253333]"
8,"[0.005933779397616829, 0.007964997384966675, 0.011531331651190645, 0.8861254372797075, 0.08844445428651838]"
9,"[0.0006159320734984538, 0.0008702613646661317, 0.0012420121556896192, 0.9263511246571959, 0.07092066974894985]"
10,"[0.0007261737532248102, 0.0007847160201259834, 0.0019812022051020253, 0.6751134548367639, 0.3213944531847833]"
11,"[0.0007970848652771416, 0.000736178199019463, 0.0011039360324732134, 0.25093388949718715, 0.746428911406043]"
12,"[0.0003109947446042695, 0.00021066647543740814, 0.00027902076545817167, 0.048727524745277626, 0.9504717932692225]"
13,"[5.018305890894222e-5, 3.5867854681626295e-5, 4.594909905291493e-5, 0.011122427579544862, 0.9887455724078117]"
