Timestep,Probs
1,"[0.19400000000000014, 0.20000000000000015, 0.17400000000000013, 0.20800000000000016, 0.22400000000000017]"
2,"[1.786069047222566e-8, 0.3718592819226085, 0.030150766416866932, 0.14572865339269075, 0.45226128040714286]"
3,"[2.2099431514774576e-13, 0.040955123262112834, 0.0586664125705723, 0.0981356694304, 0.8022427947366946]"
4,"[5.114794729802439e-9, 3.35709560860808e-5, 2.1738754624076437e-8, 0.02752191701048351, 0.9724444851798796]"
5,"[3.3122240292116506e-13, 2.1742686291152766e-9, 5.518993289453033e-10, 0.9540926779350276, 0.04590731933847333]"
6,"[2.7285145776171162e-11, 9.440219617727454e-13, 2.1828209036204846e-11, 0.999999999507306, 4.426266325678242e-10]"
7,"[6.0066685781641474e-21, 1.2756732200600418e-21, 4.805517964758971e-21, 0.9999999999999906, 7.881965525161316e-18]"
8,"[3.703123263240944e-10, 4.612000234353047e-12, 4.720934195056138e-12, 0.9999999995338062, 8.655046024269556e-11]"
9,"[0.0, 5.193496293339643e-12, 2.7600368636286444e-6, 0.9999972361718765, 3.786058797844586e-9]"
10,"[0.0, 1.2064822886936133e-19, 5.1935106472833475e-12, 0.9999999999948094, 7.91573029611876e-16]"
11,"[0.0, 2.27020927760541e-25, 7.91573029615965e-16, 1.0000000000000038, 1.4894843070369027e-21]"
12,"[0.0, 3.844619345976107e-30, 8.79525588462175e-17, 1.0000000000000038, 2.2702092776054423e-25]"
13,"[0.0, 4.746443637007651e-32, 8.795255884621876e-17, 1.0000000000000038, 2.0431883498449175e-24]"
14,"[0.0, 3.850825970908805e-36, 5.779883196957207e-19, 0.9999999999999937, 1.342699992633025e-26]"
15,"[0.0, 5.039272732159328e-6, 0.0330626683956972, 0.9668869388769836, 4.5353454589434385e-5]"
