Timestep,Probs
1,"[0.2060185185185187, 0.1875000000000001, 0.1944444444444446, 0.20833333333333354, 0.2037037037037039]"
2,"[0.23404634601046653, 0.22618385824634377, 0.04223819996894636, 0.2609251352157852, 0.23660646055845672]"
3,"[0.05752748000846423, 0.0717246413806849, 0.03398677039878578, 0.080660039120273, 0.756101069091793]"
4,"[0.019720037515851285, 0.06332193198927556, 0.032632948147039986, 0.05317981641567193, 0.8311452659321635]"
5,"[0.002331769409300804, 0.03860234380978001, 0.03840073111495167, 0.04163922916687947, 0.8790259264990863]"
6,"[0.0010141356155471725, 0.02815588195998805, 0.001490817380510516, 0.02904540310877555, 0.9402937619351762]"
7,"[7.959657607098192e-5, 0.02762491848173441, 9.491720811776255e-5, 0.034310232142909194, 0.9378903355911666]"
8,"[2.2728078029624808e-5, 0.0017922909846139002, 5.991927796210676e-5, 0.041881377250549266, 0.9562436844088424]"
9,"[1.452990068109994e-6, 0.00011571084541776761, 2.5444459036691547e-6, 0.050850742516859365, 0.9490295492017491]"
10,"[0.0011506736093271944, 0.0011506736093520418, 0.0, 0.5247071795663654, 0.4729914732149575]"
11,"[0.00023086415939683336, 7.428439505597007e-8, 0.0, 0.9607261254856687, 0.03904293607054418]"
