Timestep,Probs
1,"[0.21703296703296676, 0.20329670329670307, 0.17307692307692296, 0.19505494505494486, 0.2115384615384613]"
2,"[0.09661868266275597, 0.11594211796683668, 0.07246404103515215, 0.2821259715388823, 0.4328491867963733]"
3,"[0.20838366105002543, 0.15295603113249723, 0.12428910204410344, 0.2007380509910251, 0.31363315478234893]"
4,"[0.3230080747657098, 0.2269300259254379, 0.15233452824451607, 0.11125748788045202, 0.18646988318388366]"
5,"[0.47459866345674867, 0.3001374999401068, 0.17714811298270564, 0.016340446107084183, 0.03177527751335478]"
6,"[0.10445248106901169, 0.551616005283301, 0.3367270721466517, 0.0012004503413096171, 0.0060039911597258785]"
7,"[0.015016315082241712, 0.6425212104181254, 0.34097827323666124, 0.0002473668765706741, 0.0012368343864006272]"
8,"[6.65484766379652e-11, 0.636363520461133, 0.36045784666086295, 6.65484766379652e-11, 0.003178632744904249]"
9,"[4.0218185308593084e-19, 0.8128076460406972, 0.1811549000400225, 3.619636761859734e-19, 0.006037453919278637]"
10,"[8.934607373970763e-24, 0.8035278002783631, 0.19647219787983655, 1.5128530214370279e-28, 1.841799104801236e-9]"
11,"[3.604140695341448e-7, 0.5546690548272664, 0.44530135120958875, 3.999115854234174e-8, 2.919355791811394e-5]"
12,"[1.1802931206763902e-10, 0.3200905322040337, 0.6799094578698279, 1.3114368007515553e-11, 9.79499351975964e-9]"
13,"[1.6218680037725773e-13, 0.5860107277145847, 0.41398927228525284, 3.0522442413512214e-19, 6.924486782500794e-16]"
14,"[1.1121526061464081e-5, 0.25136177800503196, 0.7486258628159406, 4.18542257865114e-11, 1.237611112988404e-6]"
15,"[4.885860621403961e-13, 0.031048442324067924, 0.9689515573148667, 1.5569457125173681e-22, 3.605765156881075e-10]"
16,"[7.643650039969077e-11, 1.3824535818864602e-9, 0.9996344044251704, 1.163417053267745e-13, 0.0003655941158289675]"
17,"[2.4750701487271406e-17, 2.255063861537247e-16, 0.9999992232980585, 6.467447971103212e-26, 7.767019398470857e-7]"
18,"[8.288910886960972e-25, 7.552117402460357e-24, 0.9999999999997644, 2.6413782244063745e-35, 2.341032824668474e-13]"
19,"[4.5888937255523894e-36, 2.6770587485166355e-31, 1.0000000000000013, 1.170031081257214e-44, 7.559652406291667e-20]"
