Timestep,Probs
1,"[0.20359281437125726, 0.16467065868263456, 0.20059880239520936, 0.22754491017964046, 0.20359281437125726]"
2,"[0.2640341917434408, 0.173966785546692, 0.2529300623100137, 0.2430599255691684, 0.06600903483068486]"
3,"[0.11307410275737903, 0.6427992021414091, 0.11095439163176145, 0.07819433036171898, 0.05497797310773076]"
4,"[0.2926154048694513, 0.33548076794894965, 0.23017003386862525, 0.04941209020071911, 0.09232170311225558]"
5,"[0.4582983322535404, 0.07739523101397602, 0.3704529354510434, 0.047100653330960675, 0.046752847950479993]"
6,"[0.5225254804883283, 0.008033998030878012, 0.3838615881764589, 0.04087025308863498, 0.04470868021570346]"
7,"[0.1266195631641518, 0.010906371898709535, 0.7478909070061215, 0.08736343858434069, 0.027219719346676958]"
8,"[4.123641890495983e-7, 0.0019468691790424967, 0.9447303986634785, 0.05041180730507207, 0.00291051248821808]"
9,"[1.853808550912426e-11, 0.00017658538031263825, 0.9948603491043463, 0.004612167551972796, 0.0003508979448306677]"
10,"[5.563593599981251e-18, 1.4152546387977817e-5, 0.9994628966305615, 0.00048055110674169937, 4.2399716307410026e-5]"
11,"[7.752333769163559e-11, 1.1671685891544407e-14, 0.9999999999198935, 1.1671685891544376e-15, 2.564269390372257e-12]"
