Timestep,Probs
1,"[0.1654320987654319, 0.22716049382716016, 0.21481481481481451, 0.19259259259259234, 0.19999999999999973]"
2,"[0.1636205906750348, 0.28568329207442544, 0.03611852988624053, 0.260878796063568, 0.2536987913007308]"
3,"[0.22213328247161102, 0.34612900414390374, 0.035345228140631416, 0.3690194087486424, 0.027373076495211805]"
4,"[0.1729353765314603, 0.4877944708922407, 0.055000866938473114, 0.26463821027189655, 0.019631075365927446]"
5,"[0.1531339156433915, 0.4900955344912919, 0.09541457053642187, 0.24181183739779707, 0.019544141931094897]"
6,"[0.1314246868416627, 0.5774768641574872, 0.07247901008394299, 0.20681317860529386, 0.01180626031161541]"
7,"[0.06292352563928642, 0.17121980141288745, 0.17287919142926197, 0.590364634102603, 0.0026128474159618333]"
8,"[0.040592287691022015, 0.060889643545095164, 0.02468575296334396, 0.8631280151234901, 0.010704300677048258]"
9,"[0.009617885358529575, 0.003311652659698217, 0.0023183507844483095, 0.9699412121999471, 0.014810898997377066]"
10,"[0.00954521164119282, 0.00018909439553439078, 0.0010719333443151402, 0.9798376456855444, 0.009356114933413586]"
11,"[0.0009574113912436252, 0.0009486448721234882, 0.0034788200948730834, 0.9824399409614659, 0.012175182680287945]"
12,"[5.973268822018399e-5, 2.9867806272084237e-5, 0.003623782953567149, 0.9955200470809296, 0.0007665694710159534]"
13,"[3.769247704415565e-6, 1.8846245043104391e-6, 0.00022866769406787777, 0.9997179344273358, 4.774400639230991e-5]"
