Timestep,Probs
1,"[0.23055555555555524, 0.1722222222222221, 0.20277777777777756, 0.19444444444444425, 0.1999999999999998]"
2,"[0.2412038482401825, 0.15811811950472707, 0.20686712550946335, 0.1979651887997175, 0.19584571794591094]"
3,"[0.49817241365338194, 0.2987245544373723, 0.05922189798908291, 0.06557875705712822, 0.07830237686303425]"
4,"[0.6098069363392565, 0.36838023346881005, 0.004678641209650226, 0.005062759337699822, 0.012071429644586802]"
5,"[0.5936021057639421, 0.3790365931862026, 0.006302415650929259, 0.005736062566020026, 0.015322822832905285]"
6,"[0.5759539327257349, 0.41785740060034465, 0.001547021377603136, 0.0011253017585845734, 0.003516343537733338]"
7,"[0.5725948547639748, 0.4240132783473927, 0.001103042023286518, 0.001552441753932713, 0.0007363831114130066]"
8,"[0.572174401291077, 0.4275184659403715, 7.994413717908008e-9, 0.00020474985340328817, 0.0001023749207342344]"
9,"[0.5670378201265888, 0.43262881850114765, 7.080065639932859e-16, 0.0002666159521433454, 6.67454201181835e-5]"
10,"[0.5430301844446187, 0.4569499501073959, 9.984686874489482e-25, 9.933499561696763e-6, 9.931948424142445e-6]"
11,"[0.5242047755559309, 0.4757936985739274, 2.5956352318799336e-32, 1.86081805607639e-8, 1.5072619601506169e-6]"
12,"[0.10590772394437603, 0.8934304720406989, 2.078008548702257e-11, 2.6614220817233934e-9, 0.0006618013327207269]"
13,"[0.014105607687201212, 0.9858942391685698, 4.940490088703312e-18, 7.304229495978956e-19, 1.5314422680434416e-7]"
