Timestep,Probs
1,"[0.20873786407766984, 0.1310679611650485, 0.203883495145631, 0.203883495145631, 0.25242718446601936]"
2,"[0.23371209435973417, 0.18614244327601936, 0.03722891514984365, 0.2709408134076624, 0.27197573380674045]"
3,"[0.34635128963336115, 0.24703480745198786, 0.03676283231896709, 0.3284382209177975, 0.04141284967788661]"
4,"[0.36932064898983696, 0.25569153339073114, 0.011362064296001331, 0.3636169879164899, 8.765406940013704e-6]"
5,"[0.37178124761082304, 0.312663751662833, 0.007269628533533773, 0.3082853706560205, 1.5367893578413823e-9]"
6,"[0.3415031879220293, 0.327613490310854, 0.022059994664035014, 0.3088232022372105, 1.248658719571831e-7]"
7,"[0.13980162684812839, 0.13620048827218093, 0.045736652274565505, 0.6782612325461393, 5.898685073470018e-11]"
8,"[0.05441565823850446, 0.018169900662293795, 0.021768332116153626, 0.9044370345215066, 0.0012090744615454324]"
9,"[0.04186777816469044, 0.0019162770417223151, 0.007646054348708709, 0.9485695627101937, 3.2773468386435925e-7]"
10,"[0.051723774227383446, 1.335279480529218e-10, 0.005754948060678983, 0.9425204002981462, 8.772802669496381e-7]"
11,"[0.014221619556269032, 4.432187628137232e-17, 1.5454344360636482e-7, 0.9857782239923092, 1.9079760589190798e-9]"
12,"[0.002573013980734351, 2.073654470900467e-26, 5.8566151593337275e-15, 0.9974269856734331, 3.458271239451132e-10]"
13,"[0.0006163949738432393, 1.0438526232337638e-8, 9.426971072260998e-8, 0.9987595060808967, 0.0006239942370244561]"
