Timestep,Probs
1,"[0.17899761336515488, 0.221957040572792, 0.20286396181384217, 0.1718377088305487, 0.22434367541766073]"
2,"[0.13553622369936888, 0.33627526666287, 0.06378089585464712, 0.2579713687056757, 0.20643624507743916]"
3,"[0.14045917910579098, 0.4650646366204987, 0.10392837786055917, 0.1903317749450874, 0.10021603146806367]"
4,"[0.13206858717239617, 0.5099819304704512, 0.06137698062702596, 0.1971052395682227, 0.0994672621619033]"
5,"[0.1485021840062045, 0.8029649043637297, 0.008253223059286207, 0.02762757436625516, 0.012652114204522233]"
6,"[0.2109457676995181, 0.7659275334880631, 0.02141086013839931, 0.0004929606041206764, 0.001222878069899526]"
7,"[0.19201131131836977, 0.7880852404837806, 0.018076893929615295, 8.49560127893422e-5, 0.0017415982554449285]"
8,"[0.19679268569471423, 0.7770942697146918, 0.025237733204429364, 0.00014592441202289195, 0.0007293869741452652]"
9,"[0.17433357205684522, 0.8239477672307539, 0.0016607292633116879, 9.655249012469578e-6, 4.8276200078386804e-5]"
10,"[0.16074307278983607, 0.8391540823983975, 8.940486627978574e-5, 4.9004576393653554e-12, 1.3439940584117105e-5]"
11,"[0.16028154005035156, 0.839687288647563, 2.9685191009335574e-5, 1.3751196602171175e-19, 1.4861110775980068e-6]"
12,"[0.8115039100800133, 0.18848440289726623, 7.975388282488124e-6, 2.291519218570949e-29, 3.7116344389137935e-6]"
13,"[0.9950700857925656, 0.0011402643972301494, 0.0004773082617849545, 9.897265197273711e-13, 0.0033123415474244043]"
