Timestep,Probs
1,"[0.17632850241545905, 0.21980676328502446, 0.1932367149758456, 0.21256038647343023, 0.19806763285024176]"
2,"[0.19010723362491366, 0.22467217888012903, 0.15156951902806987, 0.21493843460759615, 0.21871263385929227]"
3,"[0.1483134081574788, 0.252291720484608, 0.10634462898530038, 0.2429820377902785, 0.2500682045823342]"
4,"[0.14123361553155986, 0.2339163285621467, 0.12393597533512601, 0.24651093196251303, 0.25440314860865526]"
5,"[0.26975859706336, 0.49302980762282667, 0.1891953989366156, 0.025795860155174752, 0.022220336222022533]"
6,"[0.036588726910753926, 0.9365781795110045, 0.020908184531930853, 0.003104467841860806, 0.002820441204450145]"
7,"[0.00015839505721624986, 0.9973492958610836, 0.00015840084871850517, 0.00015438345813672462, 0.0021795247748380665]"
8,"[0.003350592704881231, 0.9656206282895132, 0.00018069526650414764, 5.6664934859195676e-8, 0.030848027074160875]"
9,"[0.058606457160188204, 0.6822144875993377, 0.0031606077836117633, 1.5108945911841305e-10, 0.2560184473057721]"
10,"[0.5395659863351252, 0.26568293854934477, 0.0527439642634505, 0.001352330896162632, 0.14065477995591497]"
11,"[0.9042817977866611, 0.002939092947294829, 0.09228002364249005, 0.0002427884565154962, 0.00025629716703803716]"
12,"[0.31887928077339434, 0.0009475352424845055, 0.6799639017184211, 0.00010464113156979656, 0.00010464113413113066]"
13,"[0.0003391903461310683, 0.002031430219593066, 0.9972251104580102, 0.0002021341971332118, 0.00020213477913551704]"
