Timestep,Probs
1,"[0.2340425531914896, 0.17021276595744694, 0.21631205673758885, 0.21631205673758885, 0.16312056737588665]"
2,"[0.21850872514893654, 0.20308448738073137, 0.10282971520447061, 0.2287917811588106, 0.2467852911070512]"
3,"[0.16958199586527195, 0.18863373108803674, 0.1085454963923862, 0.24578120444257354, 0.28745757221173285]"
4,"[0.13326961636373955, 0.21092966575932007, 0.11313507740432893, 0.24448696884016682, 0.2981786716324451]"
5,"[0.0502944862598427, 0.08747602994342434, 0.13517455767542247, 0.32559909513976054, 0.4014558309815509]"
6,"[0.022379633382251428, 0.019590452878249166, 0.11887722026712029, 0.3077013812459899, 0.5314513122263899]"
7,"[0.00229546299297889, 8.641559596398943e-9, 0.0356231686302494, 0.37196926124858287, 0.5901120984866286]"
8,"[0.00047758520552016966, 2.705399015254521e-14, 0.017669707109109173, 0.3285584569181356, 0.6532942507672077]"
9,"[0.00024291522653056372, 1.4208299561019458e-22, 0.01215244213549997, 0.3110512836645021, 0.6765533589734681]"
10,"[2.2843988395650507e-12, 4.697553472519932e-12, 0.0019378436185631834, 0.6433871820242033, 0.35467497435025264]"
11,"[1.8819173399998945e-23, 3.8766516595559976e-23, 7.65604968597811e-8, 0.8592510189533431, 0.14074890448616045]"
