Timestep,Probs
1,"[0.20427553444180535, 0.18289786223277915, 0.21140142517814742, 0.22327790973871753, 0.1781472684085511]"
2,"[0.18591929984905467, 0.12394636251313265, 0.24219640570601006, 0.25472769492437997, 0.19321023700742246]"
3,"[0.13687129769853815, 0.07398288084347787, 0.06563660436023337, 0.608752997574749, 0.11475621952300132]"
4,"[0.186146554032579, 0.08236303778839411, 0.008809624512087872, 0.6310143973995289, 0.09166638626741067]"
5,"[0.014176835428629424, 0.006801059113194955, 0.01274889159423196, 0.8317383207219843, 0.13453489314196213]"
6,"[0.0011362281757384717, 0.0004614715413346675, 0.001170317425571024, 0.8759303308038351, 0.1213016520535202]"
7,"[0.0016101452286319093, 0.0005626124251727282, 0.000978589903628133, 0.895917981835725, 0.10093067060684853]"
8,"[0.00046866974554521607, 0.00021869849395454472, 6.248527817013337e-5, 0.893389097289897, 0.10586104919243487]"
9,"[2.911379073547257e-5, 1.9926580802218028e-6, 2.7481149386950963e-5, 0.8915087086012956, 0.10843270380050225]"
10,"[1.2136725754430124e-5, 5.643252821333003e-7, 0.00021472585513777572, 0.3301383766279818, 0.6696341964658419]"
11,"[0.11100934522755443, 0.05411182462529583, 0.010838046038322521, 0.08139106715591067, 0.7426497169529208]"
12,"[0.10039546088786751, 0.00521853789333813, 0.0016697302941051403, 0.014820716181316695, 0.877895554743369]"
13,"[0.025595732345524716, 0.0003293668963158886, 0.0006168045236940175, 0.0012056220967361616, 0.9722524741377316]"
