Timestep,Probs
1,"[0.1682027649769584, 0.19585253456221174, 0.21889400921658952, 0.2004608294930873, 0.21658986175115175]"
2,"[0.15770345735715688, 0.21275407819175873, 0.162790492409457, 0.22274802604729135, 0.2440039459943351]"
3,"[0.32018192018837405, 0.5350319273272265, 0.0770836504701576, 0.032415004995145914, 0.03528749701909591]"
4,"[0.30919095752266457, 0.607579097892313, 0.07579237330294644, 0.002302106589309133, 0.005135464692764888]"
5,"[0.5693853948222392, 0.3883428599206504, 0.017279458482820375, 0.0006640810704409009, 0.024328205703848926]"
6,"[0.6193667790828289, 0.3642296211935219, 0.004940654153100932, 0.005138317957560973, 0.006324627612986893]"
7,"[0.625605010130072, 0.37327328925736025, 0.00033033932450568363, 0.0003578628037773098, 0.00043349848428435]"
8,"[0.6249632691862773, 0.37465684357555024, 3.212599152083767e-5, 0.00032446983624283016, 2.3291410410426643e-5]"
9,"[0.6333525301017592, 0.36620478896317327, 4.12351404614597e-5, 0.0003969424832184831, 4.503311386986971e-6]"
10,"[0.6468529746055122, 0.3531180477233006, 1.3014444337059148e-6, 2.6289161315892e-5, 1.387065437903153e-6]"
11,"[0.6345477667860301, 0.3625886518706916, 0.00013670036944234213, 0.0027264857079970393, 3.9526584176624116e-7]"
12,"[0.08257647977051179, 0.917003658134426, 7.507822213488455e-10, 0.00041986116822918817, 1.760527977648414e-10]"
13,"[0.0056161853407252745, 0.9943559377708967, 1.2987898835575553e-12, 2.7876887078218663e-5, 4.643414482355221e-17]"
