Timestep,Probs
1,"[0.21653543307086587, 0.2283464566929131, 0.21259842519685013, 0.1614173228346455, 0.1811023622047242]"
2,"[0.2773819717113673, 0.24109895354938174, 0.015598621216611501, 0.21464890410962265, 0.25127154941301694]"
3,"[0.43693222870107845, 0.29056665123545633, 0.012120761573692893, 0.10870623463597143, 0.15167412385380022]"
4,"[0.40282656369103753, 0.3123241976432414, 0.011938760442299606, 0.10404831360317479, 0.1688621646202476]"
5,"[0.4581556641630558, 0.19421447514765106, 0.008388467320284209, 0.07239626821024298, 0.2668451251587671]"
6,"[0.27777764855781506, 0.1997191102914254, 0.013361417390330657, 0.07489449147129407, 0.434247332289136]"
7,"[0.10883153867973458, 0.16872482630695199, 0.026462667869116135, 0.12120841862630088, 0.5747725485178967]"
8,"[0.006960071804433437, 0.010038700180043705, 0.002089268175727982, 0.18072189573247463, 0.8001900641073202]"
9,"[0.0018749657599802796, 0.001595630393425375, 0.005295700760249359, 0.1761130625289919, 0.8151206405573559]"
10,"[0.00011537417313610252, 6.592706994871625e-5, 0.006262561654606606, 0.1903820770582432, 0.8031740600440653]"
11,"[4.988639079459613e-6, 4.382614546316273e-6, 0.0003960735280178662, 0.20292125555908716, 0.7966732996592701]"
12,"[1.104407900008529e-6, 5.522126328929888e-7, 9.966883731560565e-5, 0.8275614592217044, 0.17233721532044513]"
13,"[0.0011180906174684604, 1.5381035835677403e-5, 0.0002795229006489127, 0.998540754635675, 4.625081037278015e-5]"
