Timestep,Probs
1,"[0.2129629629629632, 0.1967592592592594, 0.19212962962962976, 0.21759259259259284, 0.18055555555555564]"
2,"[0.2431941608048685, 0.21377055905669254, 0.1651318537967921, 0.19555764868543143, 0.18234577765621487]"
3,"[0.42158491381018076, 0.39199885082238656, 0.07616226331133598, 0.06197256588679188, 0.048281406169305534]"
4,"[0.4154755724558101, 0.43228236361692496, 0.10436256458051686, 0.008989774518242847, 0.03888972482850695]"
5,"[0.5153034509312028, 0.4668305923959525, 0.014902819857677023, 0.001341681439703445, 0.0016214553754633659]"
6,"[0.5900886514879574, 0.407301958539993, 0.0009954647001987702, 0.00014256025764314417, 0.0014713650142070002]"
7,"[0.16685722000165654, 0.7675110646679986, 0.032012372617388575, 0.016440923898258707, 0.01717841881469709]"
8,"[0.050110532467512764, 0.9211421545517162, 0.0025707415011980207, 0.024730839556541834, 0.0014457319230359552]"
9,"[0.05156601536118833, 0.9466694943391999, 0.00031248992835554353, 0.0013711110397441805, 8.088933150728396e-5]"
10,"[0.056452210509519124, 0.9429451854445555, 0.00023254019629335382, 0.0003088033132767355, 6.126053635660085e-5]"
11,"[0.4747438452872963, 0.5224782687985067, 0.00014370665335863278, 0.0022981088985753882, 0.00033607036226307533]"
12,"[0.9040750150287468, 0.0956737988136415, 8.95348346333058e-9, 0.00025115929564283496, 1.790848320149447e-8]"
13,"[0.9656583273412763, 0.03432258968836679, 1.7781540105737218e-11, 1.9082917014366685e-5, 3.5563080211544396e-11]"
