Timestep,Probs
1,"[0.2465753424657539, 0.22945205479452097, 0.16780821917808236, 0.19520547945205508, 0.16095890410958918]"
2,"[0.23801649343212442, 0.22644629163564622, 0.16363617770595337, 0.20330565243570378, 0.16859538479057248]"
3,"[0.38548305536864236, 0.3364796933300383, 0.06836499181387266, 0.11622517444914422, 0.09344708503830325]"
4,"[0.45201996748415646, 0.4254304730660391, 0.0635833206742947, 0.031220373005682384, 0.027745865769827526]"
5,"[0.4196885911178512, 0.45922355485355365, 0.033804322753133005, 0.039509085508749056, 0.047774445766714524]"
6,"[0.4643888610818001, 0.48290186365763454, 0.014245836164306504, 0.019944348357320923, 0.018519090738938867]"
7,"[0.5571918918603073, 0.42405960346008853, 0.0049237808626615975, 0.00811838703083851, 0.005706336786103637]"
8,"[0.5908790910642218, 0.40912090891819336, 1.1753118965693823e-13, 8.88680894040597e-12, 8.579776844956546e-12]"
9,"[0.534876009308323, 0.4651239906916754, 6.272373189026122e-24, 4.127151666014587e-20, 4.115234368086846e-20]"
10,"[0.5447607997697892, 0.45523920023020903, 5.476318650271148e-38, 2.6193949487059915e-31, 3.233656712659132e-33]"
11,"[0.49160890617639214, 0.5083910938235513, 1.927778047567572e-15, 3.8132390160422075e-14, 1.7350002428108186e-14]"
12,"[0.2122878589505339, 0.7877121410494671, 2.2817414995199846e-28, 7.128964374148035e-28, 2.5348819767602693e-28]"
13,"[0.04555779701519348, 0.9544422029848059, 2.2634515885252847e-17, 6.781052909732646e-16, 3.661768571255595e-15]"
