Timestep,Probs
1,"[0.20096852300242113, 0.217917675544794, 0.19370460048426133, 0.16949152542372867, 0.217917675544794]"
2,"[0.25369766555636214, 0.25659147352458983, 0.04855318567563521, 0.15755640106568172, 0.2836012741777317]"
3,"[0.3793851720720848, 0.15724663867041827, 0.03700392952615759, 0.11270298681638016, 0.31366127291495877]"
4,"[0.2712236518248592, 0.27634710173059174, 0.22875962903808505, 0.06044585718856995, 0.16322376021789398]"
5,"[0.1719394573416778, 0.6988437477260963, 0.07829340714877442, 0.013542526885193704, 0.03738086089825948]"
6,"[0.10969976277801739, 0.33486426700250554, 0.24132971493505984, 0.01273203578972347, 0.3013742194946941]"
7,"[0.04547842559293568, 0.08779465216364171, 0.48423020821696844, 0.04817169270776195, 0.33432502131869213]"
8,"[0.00880145405887866, 0.12940660960245104, 0.3287795765705416, 0.2282593724912298, 0.3047529872768971]"
9,"[0.013756035992067739, 0.025185255050580377, 0.044070269788167776, 0.15752136285599003, 0.7594670763131959]"
10,"[0.01573595530712314, 0.000982135231881708, 0.00032785842307869793, 0.12456784062309843, 0.8583862104148196]"
11,"[0.0008664127832504208, 0.000264179519327872, 1.1862646205339141e-5, 0.11773951279921756, 0.8811180322519978]"
12,"[0.0003552405628657715, 0.00010149765030145846, 4.613513698035907e-6, 0.6962722994156418, 0.3032663488574917]"
13,"[0.002826877991905516, 6.08281461466314e-8, 0.00018651429656741267, 0.9923236609377417, 0.00466288594563743]"
