Timestep,Probs
1,"[0.18800000000000014, 0.19600000000000015, 0.21600000000000016, 0.20000000000000015, 0.20000000000000015]"
2,"[0.2416393434476923, 0.27454147501576925, 0.3155334921828604, 0.10733565054461629, 0.06095003880906126]"
3,"[0.03812074217993102, 0.6957822056478935, 0.09522368717641701, 0.1051249972609425, 0.06574836773481571]"
4,"[0.15753235287475478, 0.5073982318190516, 0.12497416148146694, 0.11247848036245271, 0.09761677346227264]"
5,"[0.30983386232062066, 0.47274585705000827, 0.1814011917762197, 0.012212321113166943, 0.02380676773998591]"
6,"[0.45668096893921384, 0.2529815600636837, 0.2508790859883734, 0.008353911419345657, 0.03110447358938328]"
7,"[0.09036059406315082, 0.08872387583375078, 0.6726310293436717, 0.016471604747436835, 0.13181289601199025]"
8,"[0.23351007984469144, 0.018850988576050873, 0.7236215632396347, 0.006935446184748979, 0.017081922154873575]"
9,"[0.28663717536937916, 0.005615021997725849, 0.696901845993478, 0.005104556248112202, 0.005741400391307981]"
10,"[0.019644095387318757, 0.00045133843812803864, 0.979818318079522, 2.1493892141007342e-5, 6.475420289322385e-5]"
11,"[0.0011451475658411036, 3.1485424301294696e-5, 0.9988173697863656, 1.4993058566283782e-6, 4.497917634617043e-6]"
