Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.2813836575619272, 0.2580457936658851, 0.12942864811847793, 0.1724153966275518, 0.15872650402615804]"
3,"[0.39915292476821185, 0.31341877464560164, 0.09582828356118539, 0.10055124985323191, 0.09104876717176927]"
4,"[0.41744892651808674, 0.35903251612938636, 0.07793297034562524, 0.06606660624576614, 0.07951898076113549]"
5,"[0.45249350448942754, 0.4827802285203322, 0.019202693873985127, 0.01986048524171458, 0.02566308787454066]"
6,"[0.43464057449993493, 0.5392883738636095, 0.00864695441882086, 0.006795524288151299, 0.010628572929483441]"
7,"[0.18853693695092075, 0.7873809946298587, 0.01122710200404347, 0.006536445091947665, 0.006318521323229325]"
8,"[0.13820486342439, 0.8526625321998389, 0.004287255517927945, 0.00246602324823133, 0.0023793256096118517]"
9,"[0.13711479516822445, 0.8614360857408507, 0.000679454520503484, 0.0003902633740763477, 0.00037940119634506447]"
10,"[0.13736481602789835, 0.8623273207892409, 0.0001290748396806207, 8.072104378377794e-5, 9.806729939647657e-5]"
11,"[0.505808795765592, 0.49359470881885087, 0.00019369002863335347, 0.000153789048578562, 0.0002490163383453018]"
12,"[0.8707774848315297, 0.12888803977888022, 0.00011035252997920153, 6.826441148984534e-5, 0.00015585844812101218]"
13,"[0.9746990668413289, 0.025242491822515218, 1.946689693021708e-5, 1.1403141402410544e-5, 2.7571297823283102e-5]"
