Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.24971728410456992, 0.24048422898401822, 0.12993259189130446, 0.14845152689941765, 0.2314143681206898]"
3,"[0.3559468004257399, 0.39536284515422754, 0.09182783922843392, 0.05933442256177333, 0.09752809262982533]"
4,"[0.38867695660211954, 0.40530758228347596, 0.08078075271653525, 0.03948116492238221, 0.08575354347548692]"
5,"[0.3580097167495176, 0.26607036619312746, 0.09078618537208238, 0.06493911720159469, 0.2201946144836779]"
6,"[0.3417376753557375, 0.33543840848313333, 0.04596606753802681, 0.07690081090769667, 0.19995703771540574]"
7,"[0.39604350514927256, 0.5184368926641132, 0.01180881970737057, 0.02132927628659741, 0.05238150619264629]"
8,"[0.41918589338455764, 0.5585607810120393, 0.005334978363551888, 0.0053221993627146575, 0.011596147877136592]"
9,"[0.4148394752310334, 0.5780390669750546, 0.002186428148950736, 0.00198529574233032, 0.0029497339026310233]"
10,"[0.41622238496939745, 0.5809241017869106, 0.0009856269321713435, 0.0008143835827237008, 0.0010535027287969531]"
11,"[0.41682678949774765, 0.5828389996497182, 0.00012660913594201762, 8.726756634691369e-5, 0.00012033415024509083]"
12,"[0.0978656336109844, 0.901947834255502, 8.931300704857772e-5, 4.7922082790664806e-5, 4.9297043674454975e-5]"
13,"[0.01864231930647291, 0.9813244996544638, 1.6605709694831773e-5, 8.329300014156592e-6, 8.246029354260281e-6]"
