Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.20063690015455463, 0.20063681039843315, 0.19745260346913793, 0.2006369035663742, 0.2006367824115001]"
3,"[0.2008016468593747, 0.2008007463427802, 0.19734810064514924, 0.20078614092826805, 0.2002633652244278]"
4,"[0.20080056558398102, 0.20079962876061472, 0.19735030755677535, 0.20078634143816743, 0.20026315666046154]"
5,"[0.33518270677367995, 0.33518087486415826, 0.32941708877945597, 0.00010980672364714504, 0.00010952285905854287]"
6,"[0.00033235004727444713, 0.999364387266563, 0.00030304748801771557, 1.0945947864434767e-7, 1.057386662608044e-7]"
7,"[3.688063981606639e-8, 0.9999998707266049, 9.236411359292311e-8, 1.215025411139029e-11, 1.6491572587838722e-11]"
8,"[6.135781473057599e-6, 0.9999784928146498, 1.5366684959872016e-5, 2.0214666036094628e-9, 2.6974506727371972e-9]"
9,"[0.005903006070413494, 0.9503262121428936, 0.043764857482363695, 1.934777707205045e-6, 3.989526622017542e-6]"
10,"[0.11809691014607782, 0.006322395352772811, 0.8755806555669525, 1.2716113521288703e-8, 2.6218083323212652e-8]"
11,"[0.11884614193694702, 7.055469681504864e-7, 0.8811531525031804, 4.215092950433659e-12, 8.68934794310363e-12]"
12,"[0.04281771267496242, 2.5536394576983904e-10, 0.957182287069669, 1.4939498264366023e-15, 3.1663447325798615e-15]"
13,"[0.00027020590624816763, 4.442596285971494e-14, 0.9997297940937074, 2.519303507026039e-19, 5.507650017072216e-19]"
