Timestep,Probs
1,"[0.17800000000000013, 0.19400000000000014, 0.19200000000000014, 0.23400000000000018, 0.20200000000000015]"
2,"[0.28110563995548044, 0.22119824118444595, 0.2903223796753435, 0.1428574728102042, 0.06451626637452619]"
3,"[0.019404492583643403, 0.7684143926959563, 0.09637383566868349, 0.11560234668671057, 0.00020493236500663699]"
4,"[0.24995251575932878, 3.862567727057496e-5, 0.49994224621730265, 0.2499903603597465, 7.625198635240246e-5]"
5,"[0.49992604011567465, 7.505058187086883e-8, 0.4999910929576503, 8.270879659140147e-5, 8.307950525102944e-8]"
6,"[0.49999999290178343, 1.8706431426993023e-15, 0.4999999954608484, 1.1626317081988162e-8, 1.104917581869642e-11]"
7,"[0.353502842850416, 9.656567998190693e-21, 0.6464971571495715, 1.1288278974912203e-14, 5.131142221184962e-16]"
8,"[0.32394771173862674, 5.374068939547534e-9, 0.6760522351149932, 4.7706778952599114e-8, 6.553089855284258e-11]"
9,"[0.334346082635581, 1.0763335590392886e-14, 0.6656539173644065, 1.328811805485808e-16, 1.8225954019438478e-19]"
10,"[5.7350076199564966e-5, 4.29045747691363e-23, 0.9999426499238017, 8.172939385582997e-29, 9.966984867072345e-31]"
11,"[7.926980576006855e-8, 9.055743417824892e-30, 0.999999920730193, 2.3378020896435653e-38, 4.9607684273930086e-45]"
