Timestep,Probs
1,"[0.19600000000000015, 0.19400000000000014, 0.21800000000000017, 0.17800000000000013, 0.21400000000000016]"
2,"[0.22658611952265298, 0.2447128908262098, 0.036253911979931615, 0.2296073137059927, 0.2628397639652138]"
3,"[0.45846698119739054, 0.4898686063130277, 0.006367238014823568, 0.032004655786213865, 0.01329251868854396]"
4,"[0.35294080259932387, 0.4117641535446117, 6.65489131300538e-7, 0.1764705011676278, 0.05882387719930408]"
5,"[0.0015201813394935427, 0.0011655176557680044, 3.6527766382980996e-13, 0.6648930747706179, 0.3324212262337549]"
6,"[0.0024699397947789015, 0.00228791119490955, 3.487137928531665e-7, 0.6634942852697507, 0.3317475150267658]"
7,"[2.917176133648199e-5, 2.8379237945187012e-5, 7.325177359215201e-14, 0.6666282993331075, 0.33331414966754086]"
8,"[3.267144691475643e-11, 3.0495519665022224e-7, 1.8285775267192736e-23, 0.9419657384561873, 0.05803395655594937]"
9,"[1.5262270412475283e-7, 0.0, 0.0, 0.9779678273193267, 0.02203202005797305]"
10,"[4.942510101188435e-10, 0.0, 0.0, 0.9999999995056765, 7.53316583019103e-14]"
11,"[1.2872878100286202e-6, 0.0, 0.0, 0.9999986968197594, 1.5892442099119087e-8]"
12,"[1.360699564977648e-13, 0.0, 0.0, 0.9999999999998614, 2.5603962904211214e-19]"
13,"[1.7401803457433102e-10, 0.0, 0.0, 0.9999999998066464, 1.933533717492576e-11]"
14,"[1.0519631166785877e-18, 0.0, 0.0, 1.000000000000002, 1.4430221079267113e-21]"
15,"[1.3995777974286938e-11, 0.0, 0.0, 0.9999999999844414, 1.5550864415874227e-12]"
16,"[9.516091775463565e-19, 0.0, 0.0, 0.9999999999999977, 1.6115584981055824e-23]"
17,"[2.845273998498281e-5, 0.0, 0.0, 0.9999715472540629, 5.9487611115571615e-12]"
18,"[9.14890328030212e-7, 0.0, 0.0, 0.99999908510967, 2.9154220393751516e-17]"
19,"[7.894246472372693e-5, 0.0, 0.0, 0.9999210575352825, 5.843903049530759e-23]"
20,"[1.6288458232793968e-5, 0.0, 0.0, 0.9999837115413922, 3.783902200772519e-13]"
21,"[0.0093538124836911, 0.0, 0.0, 0.990646187516012, 2.9807191344834864e-13]"
