Timestep,Probs
1,"[0.22400000000000017, 0.19600000000000015, 0.20600000000000016, 0.16200000000000012, 0.21200000000000016]"
2,"[0.2759562817327633, 0.23770491632633928, 0.03005465313391614, 0.1939890705918695, 0.26229507821510983]"
3,"[0.5402760148851723, 0.44206881407741605, 8.23453282014756e-5, 0.000524847494790248, 0.01704797821442175]"
4,"[0.499995178543056, 8.374386165075689e-6, 4.704104587998426e-6, 1.8826998027000102e-6, 0.49998986026638825]"
5,"[0.9986301369850307, 0.0, 1.278020197248696e-13, 0.0, 0.0013698630148470821]"
6,"[0.9999981183271244, 0.0, 1.950572935925599e-17, 0.0, 1.88167288247894e-6]"
7,"[0.9999999974188184, 0.0, 4.531301237178967e-25, 0.0, 2.581174785077524e-9]"
8,"[0.9999999999995502, 0.0, 1.0918372327572738e-31, 0.0, 4.533983211371184e-13]"
9,"[0.9999999881597609, 0.0, 7.259000822565231e-11, 0.0, 1.176764688902518e-8]"
10,"[0.9999999999958079, 0.0, 2.740784089606902e-20, 0.0, 4.195266953637258e-12]"
11,"[0.9999999995298651, 0.0, 5.733427248134511e-12, 0.0, 4.644076070989141e-10]"
12,"[1.0000000000000115, 0.0, 4.423889993771657e-21, 0.0, 2.612262802422387e-16]"
13,"[0.9999999999838852, 0.0, 1.9651657019078936e-13, 0.0, 1.5917842185454184e-11]"
14,"[0.9999999999946169, 0.0, 6.55686325818935e-14, 0.0, 5.311059239133399e-12]"
15,"[0.9999999999999926, 0.0, 5.6283449705558225e-24, 0.0, 4.103063483535253e-21]"
16,"[1.0000000000000098, 0.0, 3.804705504335484e-36, 0.0, 3.4242349539019194e-35]"
17,"[1.000000000000003, 0.0, 1.0634931604967076e-16, 0.0, 9.571438444470664e-16]"
18,"[0.9999999999999922, 0.0, 5.2204630206275286e-30, 0.0, 6.445016074849045e-32]"
19,"[0.9999999999999953, 0.0, 1.6635965843688668e-40, 0.0, 1.848440649298802e-41]"
20,"[1.000000000000008, 0.0, 2.393839084554628e-50, 0.0, 4.05398750961848e-55]"
21,"[0.9999999962290936, 0.0, 3.770894621369462e-9, 0.0, 0.0]"
