Timestep,Probs
1,"[0.19800000000000015, 0.18800000000000014, 0.16400000000000012, 0.22200000000000017, 0.22800000000000017]"
2,"[0.30125512084183276, 0.2719663248008913, 0.2092049155804841, 0.13389132391158917, 0.08368231486520275]"
3,"[0.01587161040270653, 0.8273053125258941, 0.0626517335596406, 0.06272309870808922, 0.031448244803669]"
4,"[0.47021017611775395, 8.062690904696578e-6, 0.47020935003666475, 0.05884688364749121, 0.0007255275071869898]"
5,"[0.4375482043957092, 4.505619983323111e-10, 0.4999571175618684, 0.06249467669075329, 9.011087363090478e-10]"
6,"[0.4666667270661483, 1.378443085518024e-19, 0.46666661555941336, 0.06666665737443872, 1.8087896132599476e-15]"
7,"[0.0012933720120942762, 5.822836638957829e-26, 0.9428679433822146, 0.055838684605694036, 7.640726235449089e-22]"
8,"[1.1899756548247774e-6, 1.5862311231304465e-34, 0.9950967692777375, 0.0049020407466063955, 3.172462246259645e-34]"
9,"[1.614896282756302e-9, 3.3327539953771104e-41, 0.9999992475688249, 7.508162800094949e-7, 8.229022210807752e-43]"
10,"[1.7470901320393783e-13, 8.602427072581945e-50, 0.9999999999998237, 2.1533213692566183e-16, 1.0621899034941463e-51]"
11,"[7.192734924988616e-17, 1.9983931116573297e-57, 0.9999999999999987, 5.002288849459061e-24, 4.183874893702952e-64]"
