Timestep,Probs
1,"[0.18800000000000014, 0.1580000000000001, 0.22400000000000017, 0.22000000000000017, 0.21000000000000016]"
2,"[0.23954361686283904, 0.20532311941126996, 0.053232286743488726, 0.29277557290223005, 0.20912540408017338]"
3,"[0.24707950837553347, 0.22225227712908313, 0.12328146983499053, 0.3085530628750511, 0.09883368178534079]"
4,"[0.2714325958780782, 0.21428675840587114, 0.08571338499734382, 0.3285683190316121, 0.09999894168709461]"
5,"[0.02569803514860919, 0.10904177381429951, 0.1379506297888382, 0.5642852227447216, 0.16302433850353135]"
6,"[0.013245125712373696, 2.2719047463095967e-7, 0.13245021884371982, 0.6291392680747322, 0.2251651601786992]"
7,"[0.008074922407442175, 2.8226188096827167e-11, 0.008106877955403623, 0.7580139815058542, 0.22580421810307305]"
8,"[0.009174311740367966, 5.3281129939954884e-11, 0.009174311741017738, 0.7339449592624947, 0.24770641720284056]"
9,"[1.494185873731519e-6, 1.632862077008018e-20, 0.009803353517552581, 0.7573370752179409, 0.23285807707863765]"
10,"[4.1519656912981305e-13, 8.537752797362082e-33, 2.7241046900607297e-9, 0.9869706270032864, 0.013029370272194486]"
11,"[1.372214065379571e-23, 2.8217055116394562e-43, 2.9534658012335057e-15, 0.9966160448378918, 0.003383955162102333]"
