Timestep,Probs
1,"[0.1666666666666665, 0.23666666666666636, 0.21999999999999972, 0.19999999999999976, 0.17666666666666647]"
2,"[0.17085416804089815, 0.26633166431071836, 0.16582905693970243, 0.20100524392615046, 0.19597986678253054]"
3,"[0.3199982837899318, 0.5247630953306925, 0.10278707930874031, 0.013433211322072027, 0.03901833024856386]"
4,"[0.3571426424554883, 0.5178567728628111, 0.0892859636521235, 1.0123489666208529e-7, 0.035714519794680696]"
5,"[0.7516709360428585, 0.1662183889632538, 0.08208327826691306, 3.076057904606397e-8, 2.7365966397025287e-5]"
6,"[0.81448146854499, 0.18551850255033717, 2.8648268702514832e-8, 1.5385349367979653e-10, 1.0255191803165821e-10]"
7,"[0.7926184750243396, 0.20738152497560172, 5.860070628023079e-14, 4.9346310168196084e-20, 2.9607230020360834e-19]"
8,"[0.8416665914254909, 0.15833340857450998, 8.644203818176604e-20, 1.9658844850274008e-31, 3.1527787519581046e-27]"
9,"[0.7430758588957047, 0.25692414110429485, 1.7232866422315495e-25, 1.32457949030509e-42, 7.534349893653624e-32]"
10,"[0.7241380050472159, 0.27586198681711366, 8.11218474373076e-9, 1.1125959344996704e-11, 1.2361944438202519e-11]"
11,"[0.6907414738993685, 0.30925852610061355, 1.8248224070984594e-14, 3.090352769867551e-19, 3.094591928905832e-19]"
12,"[0.01639754920506231, 0.9836024507949365, 1.6646891359364885e-23, 2.2835241859890513e-26, 2.2835241866440235e-26]"
13,"[1.8621652274523375e-5, 0.9999813783332971, 1.3225774187468538e-11, 1.6343989787827666e-14, 1.1916400939016639e-12]"
