Timestep,Probs
1,"[0.1999999999999999, 0.1999999999999999, 0.1999999999999999, 0.1999999999999999, 0.1999999999999999]"
2,"[0.05886044176706829, 0.05886044176706829, 0.2941049913941481, 0.23528040734366046, 0.35289371772805517]"
3,"[0.06633912372684145, 0.06633911448027592, 0.26781326113393017, 0.26535622675696563, 0.3341522739019854]"
4,"[0.09996326445695795, 0.09996326440079939, 0.00018452464691853812, 0.39985305737124854, 0.4000358891240752]"
5,"[0.05555330809236263, 0.16665992430541038, 1.2230401978004561e-5, 0.3333198485135076, 0.4444546886867445]"
6,"[0.39698301473757686, 0.1323276715792486, 9.37891938196048e-6, 0.17643689537192087, 0.2942430393918647]"
7,"[0.7380202474690666, 0.12300337457817809, 2.8121484814398863e-5, 0.008352080989876338, 0.13059617547806568]"
8,"[0.9279907861650315, 0.04114244864771163, 5.225632353771338e-7, 0.0034379435255460587, 0.027428299098474426]"
9,"[0.2319587628866005, 0.7515463917525739, 0.0010309278350515635, 0.0030927835051546837, 0.012371134020618634]"
10,"[0.0017265102003016463, 0.9982205699468165, 6.614981610351256e-6, 1.9844944831053722e-5, 2.6459926441404907e-5]"
11,"[4.426126856963605e-5, 0.9999555903620971, 2.0232181275165515e-8, 6.069654382549597e-8, 6.744060425055111e-8]"
12,"[9.331526996317415e-6, 0.9999906641886452, 5.852949420300223e-12, 4.266800127398802e-9, 1.1705898840600362e-11]"
13,"[0.0006477927063339786, 0.9969529750479847, 0.00021593090211132748, 0.00021593090211132748, 0.001967370441458766]"
14,"[4.71385905600229e-6, 0.9999933462812494, 1.745873724445305e-7, 1.571286352000756e-6, 1.9398596938281135e-7]"
15,"[4.713867918014966e-6, 0.9999952262597567, 7.184679039803466e-10, 5.8195900222406707e-8, 9.579572053071056e-10]"
16,"[4.713868199086893e-6, 0.999995285886074, 2.9566582173668935e-12, 2.394893156067127e-10, 3.285175797074239e-12]"
17,"[4.7138681998637545e-6, 0.9999952860508768, 1.0950585992052524e-13, 7.982977188206177e-11, 9.896085118743435e-13]"
18,"[4.713868200118108e-6, 0.9999952861048351, 3.650195330881246e-14, 2.6609923962123155e-11, 3.2856765104583356e-13]"
19,"[4.713868200202781e-6, 0.9999952861227972, 1.2167317769823084e-14, 8.869974654200398e-12, 1.0950647809218238e-13]"
20,"[4.713868200244984e-6, 0.99999528613175, 4.50641398886387e-16, 3.6501953309793886e-14, 4.506422468476313e-16]"
21,"[4.713868200245251e-6, 0.9999952861318071, 2.0605459482690113e-19, 1.5021379962879172e-16, 1.8544914826845817e-18]"
22,"[4.7138682002451175e-6, 0.9999952861318071, 9.421792173155214e-23, 6.181637844806317e-19, 7.63165167995341e-21]"
23,"[4.71386820024485e-6, 0.9999952861317785, 4.308089699659397e-26, 3.140597391051299e-23, 3.8772807330289783e-25]"
24,"[5.237653279923163e-7, 0.9999994762346902, 1.9698709424251267e-29, 1.5955954633641562e-27, 2.1887454972327704e-30]"
25,"[6.466241962170166e-9, 0.9999999935337657, 1.0007986391495813e-33, 8.10646897711061e-32, 1.3728376500673983e-36]"
