Timestep,Probs
1,"[0.19500000000000015, 0.19500000000000015, 0.19750000000000015, 0.21750000000000017, 0.19500000000000015]"
2,"[0.240774417766382, 0.23485195281198784, 0.027562993222511236, 0.26081980727034887, 0.23599082892877038]"
3,"[0.5098205861348672, 0.41025407166934064, 0.002977014126842505, 0.05078116136170844, 0.026167166707240567]"
4,"[0.2171379299798078, 0.2102798068294335, 0.2011624877867423, 0.3017089898370771, 0.06971078556693872]"
5,"[0.04798399650917886, 0.10851269666505209, 0.07109912219148146, 0.7473242878786946, 0.02507989675559212]"
6,"[0.06372738551852161, 0.10538737150948126, 0.10783633993270195, 0.7132395533201621, 0.009809349719137]"
7,"[0.05022791755101942, 0.20057908233786903, 0.06638337363047928, 0.6745139264366753, 0.008295700043956519]"
8,"[0.01939902370268427, 0.7655544580452638, 0.026148788285882903, 0.18552274184396023, 0.00337498812220924]"
9,"[0.001709703474173625, 0.9941326639081683, 0.0006516317933019151, 0.0030172386464197903, 0.000488762177938868]"
10,"[0.0052535006485271655, 0.9816332149437973, 0.0020959375962747266, 0.009445384740482347, 0.0015719620709209996]"
11,"[0.02118560409630222, 0.9374131339898045, 0.0035103217757497603, 0.025794799219523285, 0.012096140918629058]"
12,"[0.021184818432189452, 0.9344009275854411, 0.000557498573027208, 0.029733556900443284, 0.01412319850890067]"
13,"[0.018233024982644896, 0.9649283117411576, 0.0004858873750919012, 0.011145102897743195, 0.005207673003367744]"
14,"[0.011459440115298456, 0.9692195618945126, 0.0006181490434117854, 0.012679902796306581, 0.006022946150473647]"
15,"[0.004055246933472802, 0.9749831170489934, 0.0006223611033920805, 0.016190224301733582, 0.004149050612406158]"
16,"[0.027060464229582495, 0.9505397883702146, 0.014883347514491125, 0.0054689634091160556, 0.0020474364765923317]"
17,"[0.02010790207659507, 0.9773986573774212, 0.0015313049824632252, 0.0005793323338324189, 0.0003828032296963061]"
18,"[0.0013112633564653566, 0.9985374375511125, 8.825798404087462e-5, 3.782467031023241e-5, 2.5216438073305476e-5]"
19,"[0.0003414994297945618, 0.9996507988699915, 4.62176362259346e-6, 1.5400921644528738e-6, 1.5398444291412914e-6]"
20,"[2.111264874635731e-5, 0.9999785519496166, 1.9163982054632947e-7, 4.80130319313669e-8, 9.574878385663352e-8]"
21,"[1.1759316737215646e-6, 0.9999988050924992, 1.1686062143748455e-8, 1.4467315522640602e-9, 5.8430309201984756e-9]"
