Timestep,Probs
1,"[0.2311320754716981, 0.20754716981132074, 0.1792452830188679, 0.19575471698113206, 0.18632075471698112]"
2,"[0.06509609664753074, 0.22725666051603394, 0.044537545024674836, 0.4529849199691577, 0.21012477784260322]"
3,"[0.10486562692154881, 0.21396273955522965, 0.03531952730957145, 0.39676879256059433, 0.2490833136530562]"
4,"[0.09465409794640768, 0.3603028139742959, 0.08276257590147792, 0.3479702440294982, 0.11431026814831849]"
5,"[0.0390128217984248, 0.4646609803802648, 0.02416597158966139, 0.44575891882920793, 0.02640130740244181]"
6,"[0.05034950612064522, 0.5377564997929095, 0.03990275235500665, 0.35073451266997274, 0.021256729061465342]"
7,"[0.023641141194450033, 0.2821286898908541, 0.02081911242388633, 0.6612392836998273, 0.012171772790980985]"
8,"[0.033418405990864194, 0.5941650681466031, 0.03851601099238641, 0.3112440897060891, 0.02265642516405769]"
9,"[0.002437527594675231, 0.6795869633667353, 0.03158871552011366, 0.2620359257740359, 0.024350867744441673]"
10,"[0.0011474889040028156, 0.7474946093917207, 0.039587689467602154, 0.1805972973441205, 0.031172914892552646]"
11,"[0.001628919820661545, 0.6677593802130973, 0.02436665588121961, 0.2857975085264913, 0.020447535558528716]"
12,"[8.47540036409826e-7, 0.14482473143371338, 0.04344643107362987, 0.7721968697904505, 0.03953112016217051]"
13,"[7.202646587136228e-10, 0.15217459198717584, 0.15865823057763387, 0.5627858249619624, 0.12638135175296203]"
14,"[1.0501245330302256e-7, 0.31364819397081967, 0.38478096092713493, 0.09302429433094918, 0.20854644575864373]"
15,"[6.740353835019353e-15, 0.03760340064578722, 0.8909647250020906, 0.04744645435903584, 0.023985419993079626]"
16,"[1.127928963170661e-11, 0.005758447480082587, 0.9454782720232026, 0.04807330096788482, 0.0006899795175476489]"
17,"[3.2903210571752054e-18, 0.006502386190414337, 0.9905738602685799, 0.0028899260642487297, 3.3827476759289735e-5]"
18,"[9.247553530773317e-26, 2.367368471802565e-5, 0.9998107069776805, 0.00016346845713242894, 2.1508804681643345e-6]"
19,"[2.1257043584829e-31, 2.510002965034277e-5, 0.9999650454391122, 7.227003321020804e-6, 2.6275279168031286e-6]"
