Timestep,Probs
1,"[0.22065727699530555, 0.19014084507042284, 0.1666666666666669, 0.2347417840375591, 0.18779342723004724]"
2,"[0.2641764073055609, 0.2169782204715853, 0.11205445825221277, 0.1500851349940579, 0.2567057789765837]"
3,"[0.27853792647829695, 0.29434917278862144, 0.026617042865207934, 0.12493332923041482, 0.2755625286374582]"
4,"[0.37238722471977687, 0.3590429451310836, 0.005223452020927748, 0.0788144492735061, 0.18453192885470687]"
5,"[0.18967650240141898, 0.24700377785052732, 0.0035073036184040053, 0.05922413560745596, 0.5005882805221933]"
6,"[0.09952424263063361, 0.11214590179279608, 0.008483466159359299, 0.09104062757101365, 0.6888057618461966]"
7,"[0.03578292544206936, 0.09226904424161694, 0.000422310802737015, 0.007356429572812557, 0.8641692899407666]"
8,"[0.009352047295876742, 0.12731951932053032, 0.0010740675886444283, 0.010589843178406486, 0.8516645226165435]"
9,"[0.00665431175542173, 0.1565672457281233, 0.016112807775840628, 0.01188231800187083, 0.8087833167387416]"
10,"[0.00906427205068643, 0.0241241207273233, 0.009041853265490162, 0.001855676175757859, 0.9559140777807463]"
11,"[0.002066448926417243, 0.0020662971278661616, 0.002596798379697609, 0.01082584929571648, 0.9824446062703058]"
12,"[7.260835306929111e-8, 0.00019813696179273225, 0.03407941225196318, 0.015256479024977024, 0.9504658991529157]"
13,"[9.699663845502075e-14, 7.491491643383246e-5, 0.21778178404880838, 0.004349187129391536, 0.7777941139052706]"
14,"[8.177676780142754e-9, 0.0038171792864307376, 0.35870571167097426, 0.0038166053002788823, 0.6336604955646374]"
15,"[4.4156372208120146e-15, 0.009953927027875153, 0.04097440938308018, 1.517138544331837e-6, 0.9490701464504931]"
16,"[1.8815372028119538e-9, 0.014486507585088793, 0.030873372321706886, 8.525690970161152e-9, 0.9546401096859772]"
17,"[2.955394969494709e-15, 0.001181997534039578, 0.016980985140987833, 5.3005164697921606e-14, 0.9818370173249177]"
18,"[7.148054215933686e-21, 2.6865419539538667e-5, 0.001629353757743311, 1.436464705892871e-20, 0.9983437808227152]"
19,"[6.603782256459952e-10, 5.732989751558883e-9, 0.0007906053570820871, 6.934028229453669e-9, 0.9992093813155134]"
