Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.2112850184781827, 0.21356021441248565, 0.18494875727499363, 0.19589017778362072, 0.1943158320507173]"
3,"[0.16776221061992558, 0.22676191150041777, 0.1632794606639531, 0.29791463246544636, 0.14428178475025732]"
4,"[0.20428415947368264, 0.2721204668919388, 0.1251407617714868, 0.27713430601424355, 0.1213203058486482]"
5,"[0.13590514993120548, 0.18332006148627208, 0.1570769507332572, 0.37681721599375084, 0.1468806218555144]"
6,"[0.05254031027567496, 0.06679636796818382, 0.1254657804743589, 0.6076898594602147, 0.14750768182156773]"
7,"[0.01337793077578581, 0.020384400122661947, 0.040080364196289645, 0.7974170434537576, 0.128740261451505]"
8,"[0.0043293333782566555, 0.007362762260795338, 0.00907095964572345, 0.9020549628569924, 0.07718198185823215]"
9,"[0.0004934797068557527, 0.0008285212046739492, 0.0012751041902012766, 0.924592588859564, 0.07281030603870502]"
10,"[0.0009297991835743042, 0.0008034690926285468, 0.003222901727921633, 0.6671265534623841, 0.32791727653349145]"
11,"[0.0007260833757279976, 0.0005241949926122918, 0.0014819064085617578, 0.250515846133589, 0.7467519690895089]"
12,"[0.0002921119938830025, 0.0001411451438859847, 0.00032254543298983196, 0.04869254684529869, 0.9505516505839424]"
13,"[6.0796522154157747e-5, 2.2560402862101464e-5, 6.977534540694559e-5, 0.01108410481477411, 0.9887627629148028]"
