Timestep,Probs
1,"[0.17200000000000013, 0.22000000000000017, 0.19800000000000015, 0.23400000000000018, 0.17600000000000013]"
2,"[0.19230769100641393, 0.23333333284092506, 0.16666666807638533, 0.2333333323048349, 0.17435897577144224]"
3,"[0.46319562515547874, 0.4437554064128458, 0.04611185682324158, 0.026800894854571312, 0.020136216753863807]"
4,"[0.4736837083808466, 0.45864623146363875, 0.03759441025958003, 0.015037818050726745, 0.015037831845207725]"
5,"[0.5253768391974466, 0.47455987512527525, 2.7122423961038906e-5, 2.324780047969171e-5, 1.291545284071843e-5]"
6,"[0.5259875196834103, 0.47401246838495736, 7.874119003057868e-9, 1.4489667974952582e-10, 3.9126127619713175e-9]"
7,"[0.037593389581543256, 0.9624066104184539, 7.57526843865408e-16, 6.345991713871633e-19, 4.205612861015821e-17]"
8,"[0.03429801707474219, 0.9657019828636663, 5.541413203146724e-11, 6.163759609941545e-12, 9.266277943058337e-15]"
9,"[0.03426129241805603, 0.9657387075819495, 1.1556076303892976e-18, 3.544612707590976e-22, 2.4226753832300097e-25]"
10,"[0.03524229057948626, 0.9647577094205122, 2.2367061784618656e-24, 1.0399922583959237e-31, 1.0880095946808486e-38]"
11,"[0.9091192516203491, 0.09088074837964966, 1.4893030512320612e-31, 1.1204612859306623e-42, 7.243494157341889e-46]"
12,"[0.9999999814450989, 1.8543320892013717e-8, 1.089157576539695e-15, 5.7940871005230285e-12, 5.79388248461601e-12]"
13,"[0.9999999999940347, 5.97761853898074e-12, 7.383921521634469e-28, 2.0651662665089576e-23, 1.4871460693437263e-20]"
