Timestep,Probs
1,"[0.22252747252747224, 0.1895604395604394, 0.21428571428571402, 0.1978021978021976, 0.1758241758241757]"
2,"[0.09578262589278198, 0.085237590508409, 0.0729356222518229, 0.4094891468115511, 0.33655501453543507]"
3,"[0.3003315669804866, 0.17678831897221936, 0.05162706571884444, 0.23487142611916617, 0.23638162220928408]"
4,"[0.3792923355811259, 0.22766640796855975, 0.02224002521052886, 0.08087281487138384, 0.28992841636839894]"
5,"[0.6606327943732128, 0.2607917157320451, 0.0036263112554411896, 0.017470929573222875, 0.057478249066078214]"
6,"[0.21492164576096806, 0.7579605417715007, 0.0029040791198826944, 0.005808107818894435, 0.01840562552875419]"
7,"[0.030848434967190672, 0.964977659785163, 0.000566164257812347, 0.0002104958609740975, 0.0033972451288594124]"
8,"[0.004001405691235436, 0.9821660144491077, 0.007279780125462136, 9.59225806142002e-11, 0.006552799638264792]"
9,"[0.000856275547601834, 0.9829789896541877, 0.009236386019355081, 4.201111552024619e-18, 0.0069283487788603555]"
10,"[0.0010944084635795821, 0.9772843303398154, 0.011891684467777396, 1.8621890365498612e-28, 0.009729576728827308]"
11,"[5.116270773463516e-5, 0.9585484360277461, 0.022368055071520277, 6.38850833307381e-8, 0.01903228230791002]"
12,"[4.196501144515146e-12, 0.9681614926910015, 0.026047880538064377, 1.2654295810842933e-16, 0.00579062676673603]"
13,"[2.7952334182516137e-8, 0.9841254102681661, 0.013110966792693423, 2.7127626414249357e-8, 0.0027635678591803603]"
14,"[3.907023647579597e-7, 0.7475203664151239, 0.22723060069275527, 3.848327357243067e-7, 0.025248257357018446]"
15,"[0.0011927659570664295, 0.2540427586224496, 0.7317733912062468, 0.0011781961367687403, 0.01181288807747001]"
16,"[0.02315000724645294, 0.39720532878560033, 0.5565509305721894, 0.02078368444398222, 0.0023100489517745987]"
17,"[0.04338147746755817, 0.5230859616422828, 0.4299434375156276, 0.0035809696411620187, 8.153733366131372e-6]"
18,"[0.007839120316762562, 0.5581946156389579, 0.433751469982281, 0.0002147940614452914, 5.544028780098963e-13]"
19,"[0.0007295230045262215, 0.5582059901553855, 0.44106448057516817, 7.639872855790977e-11, 6.188518154876387e-9]"
