Timestep,Probs
1,"[0.19210526315789483, 0.2078947368421054, 0.23157894736842127, 0.17368421052631583, 0.19473684210526326]"
2,"[0.20523436411183352, 0.22865004582861648, 0.1473834548866204, 0.1701099208605915, 0.24862221431233691]"
3,"[0.190086404491027, 0.2580791709333763, 0.19231186907179845, 0.10879818702769965, 0.2507243684760976]"
4,"[0.1532865346095756, 0.40854223518091926, 0.12697148994216315, 0.12238101114818745, 0.18881872911915498]"
5,"[0.17301022600281077, 0.2469150092265824, 0.22703335721094514, 0.11014631208007444, 0.24289509547958704]"
6,"[0.1860235322099719, 0.12418471538510618, 0.3408728598971999, 0.0764209836191047, 0.2724979088886184]"
7,"[0.10736174895451917, 0.12253789913930377, 0.4468573957354161, 0.04948787577677726, 0.2737550803939834]"
8,"[0.16411470315214136, 0.1218622188927076, 0.3710963622779096, 0.05633789994879976, 0.28658881572844125]"
9,"[0.1154415026964236, 0.14309119826126546, 0.47089742325708694, 0.015793173676609217, 0.25477670210861514]"
10,"[0.10721649977123406, 0.09873077910581837, 0.5329035798421887, 0.0026613340018436485, 0.25848780727891574]"
11,"[0.03984277713153779, 0.05334045905388263, 0.6735582404922282, 0.0011434183163074167, 0.23211510500604318]"
12,"[0.01870097261220835, 0.02460603497293851, 0.8174109425749636, 0.008858141934272914, 0.13042390790561395]"
13,"[0.011460851783297508, 0.00344880241052447, 0.9451302048724153, 0.0008388978832628136, 0.03912124305049858]"
14,"[0.013779596843397624, 0.00261232316039097, 0.9368612111900947, 2.1214425185325843e-8, 0.04674684759169269]"
15,"[0.0029009435161817115, 5.015996441467275e-7, 0.7888504439632541, 3.977518555996105e-6, 0.20824413340236636]"
16,"[0.002800986362715281, 8.950191700398598e-13, 0.5181932159696878, 3.45799476227149e-5, 0.4789712177190808]"
17,"[0.0006926856951211077, 1.0809827431597621e-6, 0.08201066326340789, 1.153258301791979e-5, 0.9172840374757089]"
18,"[0.00011424407938572041, 3.72599421659311e-14, 0.009712240442473083, 3.2805804711817105e-12, 0.9901735154748244]"
19,"[1.1266152248906762e-11, 2.4350275089946057e-10, 9.387108173039279e-6, 1.0494324926869293e-5, 0.9999801183121357]"
