Timestep,Probs
1,"[0.2166666666666664, 0.23666666666666636, 0.20666666666666642, 0.17666666666666647, 0.16333333333333316]"
2,"[0.2208258072786635, 0.2100542406441046, 0.19030509198831833, 0.2208257991042184, 0.15798906098469584]"
3,"[0.386011563949339, 0.35325655990064275, 0.08545342475295689, 0.08862215770601031, 0.0866562936910519]"
4,"[0.4876704586998793, 0.3965677017379881, 0.06645785037998825, 0.021436562771871292, 0.027867426410272293]"
5,"[0.540381804301745, 0.32915763658337593, 0.07150137033508155, 0.022365518384878165, 0.036593670394919765]"
6,"[0.5014224197969646, 0.441915033418649, 0.028332998619342766, 0.0084980985570584, 0.019831449607986315]"
7,"[0.5134575467617901, 0.4694183553623983, 0.006607661719827963, 0.0013277913101490788, 0.009188644845834934]"
8,"[0.4832875743442438, 0.513672973873088, 1.588442506288451e-11, 0.0, 0.003039451766786968]"
9,"[0.45121220332594925, 0.5474133274638501, 3.0036668511545443e-18, 0.0, 0.0013744692101990573]"
10,"[0.4541176998975705, 0.5458822996104877, 2.0231663366362664e-30, 0.0, 4.919396012050141e-10]"
11,"[0.423459409510235, 0.5765405904870377, 2.726520977210408e-12, 0.0, 0.0]"
12,"[0.17443036232285486, 0.8255696376771462, 2.641766479436983e-24, 0.0, 0.0]"
13,"[0.035617101603890304, 0.9643828983842953, 1.1813480283751066e-11, 0.0, 0.0]"
