Timestep,Probs
1,"[0.23049645390070944, 0.2056737588652484, 0.17730496453900724, 0.2056737588652484, 0.18085106382978738]"
2,"[0.2205526752083456, 0.20499111842450243, 0.07262316107331433, 0.2847688252027468, 0.21706422009109105]"
3,"[0.47935496731013927, 0.3372833076403636, 0.014946906647080357, 0.0958201482943628, 0.07259467010805509]"
4,"[0.4024684832341991, 0.3011433506602676, 0.03767546622502496, 0.20329050780472152, 0.05542219207578629]"
5,"[0.2729342237420464, 0.2825989099137523, 0.033059609610237344, 0.3799817648835432, 0.03142549185042061]"
6,"[0.3296520067545815, 0.43936194528681605, 0.02119124442238848, 0.19512335170433273, 0.014671451831881033]"
7,"[0.35162271223256863, 0.4919202019657602, 0.01718583524557919, 0.1283413511807387, 0.010929899375353372]"
8,"[0.22009039843708283, 0.7617341244432055, 4.551601453007533e-8, 0.014137828412878847, 0.004037603190817578]"
9,"[0.11286102239398546, 0.8602332923083215, 1.6920237208341981e-10, 0.025440794270565933, 0.0014648908579235106]"
10,"[0.11887973147753422, 0.8479584023913022, 7.163179065750971e-7, 0.028552623110781376, 0.004608526702476126]"
11,"[0.14072935486373878, 0.8354134417529552, 5.856191074447775e-10, 0.013114237899041122, 0.010742964898647282]"
12,"[0.18163259236849977, 0.7290605327941123, 0.03689058782872511, 0.03225623167114076, 0.020160055337524074]"
13,"[0.23104518066167462, 0.6998651415063062, 0.00527440937300822, 0.01105225529876534, 0.05276301316024622]"
14,"[0.3308159336663376, 0.5914643928877451, 4.84375468182268e-7, 0.005558670254407124, 0.07216051881604231]"
15,"[0.2128568279907468, 0.601528558402097, 3.3406303361831706e-10, 0.03146962509872329, 0.15414498817436878]"
16,"[0.25313758497484823, 0.6680771144536171, 2.3401682168120768e-8, 0.01003731145378574, 0.06874796571606444]"
17,"[0.23860363415784522, 0.7466511489816512, 1.1335202739770742e-14, 0.002061561993576067, 0.01268365486691652]"
18,"[0.2359520707075266, 0.7634968742203081, 7.017640186207713e-9, 2.140646786884213e-12, 0.0005510480523855015]"
19,"[0.23926926650035335, 0.7606019348224367, 2.0424579551504538e-14, 3.848588521452981e-20, 0.00012879867718673064]"
20,"[0.052474611918410366, 0.9472680865224751, 1.0531773764540813e-22, 2.4465960662352284e-30, 0.00025730155911647977]"
21,"[1.2856470097647148e-7, 0.9999998714234161, 1.0899602567868918e-12, 8.819195697517202e-12, 1.9841081558198278e-12]"
