Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.12693456556038424, 0.2022669741486287, 0.17465513435552454, 0.2698628980821967, 0.2262804278532658]"
3,"[0.08031437097834251, 0.10365485505271918, 0.1882811978665244, 0.2522672121453179, 0.37548236395709617]"
4,"[0.044117140874976334, 0.06705463275656194, 0.12307564270780555, 0.1638786285732863, 0.6018739550873698]"
5,"[0.07636983065894952, 0.10147403972879174, 0.16943185283311568, 0.1522050036853468, 0.5005192730937962]"
6,"[0.09344803256939198, 0.10209984566003234, 0.16861345450889564, 0.2438617857037293, 0.39197688155795085]"
7,"[0.11342128853347956, 0.1652852214002568, 0.14036077245543208, 0.40515849930813236, 0.17577421830269918]"
8,"[0.10080150866925151, 0.10961379650601913, 0.1583386804021057, 0.2732851106339638, 0.3579609037886599]"
9,"[0.07547395549629868, 0.09979439959374013, 0.14636779685074466, 0.1490303256248559, 0.5293335224343605]"
10,"[0.030736617086021194, 0.05036328742583324, 0.08622662350475513, 0.1247113047506545, 0.707962167232736]"
11,"[0.013058121941253754, 0.016310343232954282, 0.02645261269526658, 0.02963384491190248, 0.9145450772186229]"
12,"[0.00703167684233946, 0.005167092080830957, 0.01479453767595821, 0.015091324286464624, 0.9579153691144068]"
13,"[0.0012953389844311538, 0.0011548544624952043, 0.0018971963482984167, 0.0018411659376467546, 0.9938114442671284]"
14,"[0.00027146798377573216, 0.0002156654863292137, 0.0006778913137354119, 0.0005361801168229819, 0.9982987950993367]"
15,"[4.0138177948299814e-5, 6.484406746598936e-5, 0.00010852024007186926, 8.713220737524735e-5, 0.9996993653071385]"
