Timestep,Probs
1,"[0.21800000000000017, 0.20400000000000015, 0.17400000000000013, 0.21000000000000016, 0.19400000000000014]"
2,"[0.299342065252161, 0.18749998018906136, 0.09539473216964768, 0.16447372585944678, 0.2532894965296817]"
3,"[0.26803260020633135, 0.2852491107040861, 0.14271267135123641, 0.14309495922269494, 0.16091065851564984]"
4,"[0.27848617684278876, 0.33543682689214077, 0.10127068445132291, 0.10442978629791726, 0.18037652551582994]"
5,"[0.0014671799689593055, 0.12306897186427038, 0.29171687186951933, 0.21893604263445868, 0.3648109336627915]"
6,"[1.1380840225840666e-12, 0.023809562091430692, 0.19047618246572892, 0.40476187391950835, 0.3809523815221935]"
7,"[1.5839624059062239e-25, 0.00010398934131346683, 0.1521479575707988, 0.0009975273670075739, 0.8467505257208796]"
8,"[2.6822781708940136e-14, 1.760141106770836e-10, 1.2831208721549348e-7, 2.172645318424146e-12, 0.9999998715096983]"
9,"[1.6890940793401075e-22, 8.976538491930715e-17, 1.1704131491443996e-10, 1.368166204265484e-20, 0.9999999998829551]"
10,"[4.646114407560584e-9, 1.6621512676060656e-13, 6.4519531477243615e-12, 6.373270792264219e-12, 0.9999999953409028]"
11,"[9.95550764768756e-18, 1.2442488409944937e-19, 1.2290773309545453e-19, 1.1061675164097341e-18, 1.0000000000000144]"
12,"[1.2746540870209366e-12, 1.1629445762700057e-11, 1.1613515015079922e-11, 9.29222829438276e-10, 0.9999999990462531]"
13,"[5.0277809008865813e-23, 2.9693130515826103e-18, 3.710502304854429e-20, 3.2987270490717645e-19, 0.9999999999999932]"
14,"[7.37634451493356e-15, 2.389935622838506e-12, 9.679239272495737e-11, 5.377355151386661e-12, 0.9999999998954427]"
15,"[2.3644613652361947e-21, 2.133269587301949e-19, 1.2720849434197677e-15, 1.5513231017314822e-17, 0.9999999999999964]"
16,"[2.0327387818664232e-29, 1.646546679741429e-27, 5.7410655223019314e-18, 1.333679914782592e-25, 1.0000000000000058]"
17,"[5.1620861345275273e-11, 5.737224827461442e-11, 9.291755042149588e-10, 4.645877521074769e-10, 0.9999999984972461]"
18,"[2.0399958661276287e-23, 1.5055172605563054e-20, 1.2194687288537882e-18, 1.2045971589897093e-18, 1.0000000000000049]"
19,"[8.043535961905773e-36, 5.863737730019121e-32, 6.232461271301286e-27, 3.8471983156180324e-29, 0.9999999999999895]"
