Timestep,Probs
1,"[0.1999999999999999, 0.1999999999999999, 0.1999999999999999, 0.1999999999999999, 0.1999999999999999]"
2,"[0.08334179915680404, 0.24994920505917625, 0.24994920505917625, 0.20846243714126086, 0.2082973535835832]"
3,"[0.02054792401950797, 0.05479425784189505, 0.32876554705136435, 0.5787690461794424, 0.017123224907791577]"
4,"[2.3412558308977335e-7, 0.001536097950651974, 0.33333325529147245, 0.6641063473318581, 0.0010240653004346555]"
5,"[2.9814712118592765e-9, 0.001584476042301661, 0.31378494067358315, 0.6845523345721611, 7.824573048403351e-5]"
6,"[2.6081117643461275e-12, 0.00011227065945662206, 0.983715672165263, 0.01616743698092787, 4.620191747186154e-6]"
7,"[0.0, 0.0, 0.9130434782608701, 0.0031055900621118336, 0.08385093167701863]"
8,"[0.0, 0.0, 0.4664136622390892, 2.71076172404452e-5, 0.5335592301436678]"
9,"[0.0, 0.0, 0.07837445573294728, 0.0007256894049346904, 0.9208998548621167]"
10,"[0.0, 0.0, 0.789578193633791, 3.0086046091822622e-5, 0.21039172032011463]"
11,"[0.0, 0.0, 0.9903737655060084, 1.3976722235008463e-6, 0.009624836821768084]"
12,"[0.0, 0.0, 0.9997881820494515, 1.5677315419294982e-7, 0.00021166117739983536]"
13,"[0.0, 0.0, 0.9999202609636355, 1.742154055642824e-8, 7.972161482845729e-5]"
