Timestep,Probs
1,"[0.20919540229885009, 0.1862068965517238, 0.19080459770114905, 0.23218390804597638, 0.18160919540229853]"
2,"[0.25507666868836154, 0.2658516309278793, 0.033568176240377584, 0.27869871684869535, 0.16680480729468594]"
3,"[0.18346780930357626, 0.2424711821422586, 0.03144384483077685, 0.42002201228653946, 0.1225951514368489]"
4,"[0.15315968745140496, 0.24397847511107704, 0.012184735511568122, 0.4657123268528304, 0.1249647750731174]"
5,"[0.020181072328704756, 0.12644351990834152, 0.006253690037219101, 0.6717809288903166, 0.17534078883541776]"
6,"[0.0010600651987604252, 0.014333518233867049, 0.00046883327692300323, 0.7789010838953019, 0.20523649939514607]"
7,"[6.403690807981735e-5, 0.0008071363260349209, 0.0004478478928377804, 0.7453783905174647, 0.2533025883555829]"
8,"[0.002723682508805832, 0.00013618412313214356, 0.0027236823439597936, 0.7823777732250181, 0.21203867779908603]"
9,"[2.4492376965657045e-8, 8.817323365615733e-6, 0.0003350582878933984, 0.7902435579955435, 0.2094125419008231]"
10,"[4.143260381258242e-17, 6.68489576153113e-7, 2.5402603893818197e-5, 0.986777203363812, 0.013196725542718961]"
11,"[2.662861360207396e-27, 4.0313548411924286e-8, 1.5319148396531198e-6, 0.9987644297197014, 0.0012339980519072181]"
