Timestep,Probs
1,"[0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[0.02316365823001089, 0.02316365823001089, 0.02316365823001089, 0.46525451265498363, 0.46525451265498363]"
3,"[0.24692656258666404, 0.24692656258666404, 0.012293749653343877, 0.24692656258666404, 0.24692656258666404]"
4,"[0.46525451265498363, 0.46525451265498363, 0.02316365823001089, 0.02316365823001089, 0.02316365823001089]"
5,"[0.46525451265498363, 0.46525451265498363, 0.02316365823001089, 0.02316365823001089, 0.02316365823001089]"
6,"[0.498147822501011, 0.498147822501011, 0.0012347849993259877, 0.0012347849993259877, 0.0012347849993259877]"
7,"[0.49990745977749124, 0.49990745977749124, 6.169348167260983e-5, 6.169348167260983e-5, 6.169348167260983e-5]"
8,"[0.499907459777491, 0.499907459777491, 6.16934816726098e-5, 6.16934816726098e-5, 6.16934816726098e-5]"
9,"[0.499907459777491, 0.499907459777491, 6.16934816726098e-5, 6.16934816726098e-5, 6.16934816726098e-5]"
10,"[0.4999953918832049, 0.4999953918832049, 3.0720778634159673e-6, 3.0720778634159673e-6, 3.0720778634159673e-6]"
11,"[0.4999997705733648, 0.4999997705733648, 1.5295109006877282e-7, 1.5295109006877282e-7, 1.5295109006877282e-7]"
12,"[0.047425871113448044, 0.9525740853635001, 1.4507684025424265e-8, 1.4507684025424265e-8, 1.4507684025424265e-8]"
13,"[0.002472623151024037, 0.9975273745798323, 7.563811596247895e-10, 7.563811596247895e-10, 7.563811596247895e-10]"
