Timestep,Probs
1,"[0.3309859154929575, 0.3309859154929575, 0.3380281690140843]"
2,"[0.31343283582089565, 0.35074626865671665, 0.33582089552238825]"
3,"[0.32000000000000006, 0.3520000000000001, 0.32800000000000007]"
4,"[0.30973451327433615, 0.3539823008849557, 0.3362831858407079]"
5,"[0.3333333333333335, 0.342857142857143, 0.32380952380952394]"
6,"[0.3368421052631578, 0.3263157894736841, 0.3368421052631578]"
7,"[0.31818181818181795, 0.34090909090909066, 0.34090909090909066]"
8,"[0.3333333333333331, 0.32051282051282026, 0.3461538461538459]"
9,"[0.30000000000000016, 0.3571428571428573, 0.342857142857143]"
10,"[0.25925925925925924, 0.37037037037037024, 0.37037037037037024]"
11,"[0.21276595744680832, 0.38297872340425493, 0.40425531914893575]"
12,"[0.22500000000000014, 0.3750000000000003, 0.4000000000000003]"
13,"[0.19999999999999973, 0.3714285714285709, 0.42857142857142794]"
14,"[0.19848603815138255, 0.396950917338202, 0.40456304451041475]"
15,"[0.1920000048083638, 0.3920000016860418, 0.41599999350559286]"
16,"[0.1769911504442599, 0.4070796460182114, 0.41592920353752777]"
17,"[0.04987526999682068, 0.3316713820430661, 0.6184533479601132]"
18,"[4.666957860979265e-8, 0.9996639285334412, 0.0003360247969800951]"
19,"[8.727174690281558e-19, 0.9999999999999978, 3.013531364792027e-16]"
20,"[0.0, 1.0000000000000004, 1.8238822529881784e-47]"
