Timestep,Probs
1,"[0.330917874396136, 0.3454106280193245, 0.3236714975845418]"
2,"[0.49113432997983825, 0.45428330608221623, 0.054582363937947805]"
3,"[0.5055768803684829, 0.4875484362551726, 0.0068746833763440145]"
4,"[0.5420522223955889, 0.4572503659459757, 0.0006974116584367547]"
5,"[0.5447277585999585, 0.4551930839931077, 7.915740693566981e-5]"
6,"[0.5435916612909775, 0.45504189361403197, 0.0013664450949941172]"
7,"[0.5486914718105081, 0.45115788558053843, 0.0001506426089543125]"
8,"[0.6709670755137723, 0.3289486164144077, 8.430807181831443e-5]"
9,"[0.6812449653721919, 0.3186665874775108, 8.844715029732556e-5]"
10,"[0.22882089159104074, 0.7708492058129752, 0.00032990259598457866]"
11,"[0.024731112502951968, 0.9691874432927566, 0.006081444204289162]"
12,"[0.004217202497261402, 0.9889103530226977, 0.006872444480041166]"
13,"[0.0011482883972456807, 0.9824389380748997, 0.016412773527857933]"
14,"[0.058753944010047535, 0.9336203687343702, 0.007625687255583042]"
15,"[0.06093672206771435, 0.9322916199122468, 0.006771658020038318]"
16,"[0.013023152652118244, 0.9546766685839286, 0.03230017876394693]"
17,"[0.0016959351827961684, 0.9763237121009861, 0.021980352716214215]"
18,"[0.00020799846537789454, 0.9781335780707315, 0.02165842346389274]"
19,"[2.144813884829633e-5, 0.9720204556459605, 0.02795809621519052]"
20,"[0.015584410591161797, 0.955844893646935, 0.028570695761898184]"
21,"[0.014085088730973933, 0.9683064827377855, 0.017608428531234416]"
22,"[0.017166616043598804, 0.9613751130567544, 0.021458270899641536]"
23,"[0.0028570194204571445, 0.9714298050715351, 0.025713175508008827]"
24,"[0.00029051788503033354, 0.9683335505317043, 0.03137593158326553]"
25,"[3.833781622674938e-5, 0.9626973048113743, 0.037264357372400435]"
26,"[0.00032008053457180906, 0.9622285638453172, 0.03745135562011533]"
27,"[4.270408952815647e-5, 0.9653573887312961, 0.034599907179177325]"
28,"[5.763375237294568e-6, 0.9579792272379761, 0.04201500938678423]"
29,"[8.525069003767922e-7, 0.9956450464290068, 0.004354101064091045]"
30,"[1.1915018323204729e-7, 0.9994787114103705, 0.0005211694394477354]"
