Timestep,Probs
1,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,"[0.19724846014307643, 0.4013735649982505, 0.401377974858673]"
3,"[0.0022235962082039853, 0.49887445786159657, 0.4989019459301995]"
4,"[0.11014120240006145, 0.016396251105585583, 0.8734625464943531]"
5,"[4.262409296703878e-5, 6.3458038028972945e-6, 0.99995103010323]"
6,"[1.4223027195274059e-8, 2.117500548803109e-9, 0.9999999836594723]"
7,"[4.261691535371171e-5, 6.344735226711433e-6, 0.9999510383494196]"
8,"[0.11785243271257381, 0.017545673476798664, 0.8646018938106276]"
9,"[0.0012522655966109252, 0.5594567769774228, 0.43929095742596624]"
10,"[2.040808708572851e-7, 0.5644590650618251, 0.43554073085730405]"
11,"[1.8506263897713674e-9, 0.5644538435550676, 0.43554615459430607]"
12,"[3.093205041486148e-13, 0.5644538383922549, 0.43554616160743576]"
13,"[1.0321268607342442e-16, 0.5644538384068623, 0.4355461615931376]"
14,"[3.443957866592977e-20, 0.5644538384070313, 0.43554616159296866]"
15,"[1.149171728760395e-23, 0.5644538384070305, 0.4355461615929695]"
16,"[3.825606775366775e-27, 0.56445383840703, 0.43554616159297005]"
17,"[2.7185973409838265e-30, 0.0004178179485642387, 0.9995821820514358]"
18,"[4.961099806991155e-32, 3.6682712570072975e-6, 0.999996331728743]"
19,"[1.546216684332805e-35, 1.7715267831224062e-6, 0.9999982284732168]"
20,"[1.4068051182756e-37, 3.170218041736208e-8, 0.9999999682978196]"
21,"[2.352848301504864e-41, 1.0549873163621446e-11, 0.9999999999894501]"
22,"[7.850879669418113e-45, 3.520234801463614e-15, 0.9999999999999964]"
23,"[2.619648823034027e-48, 1.1746172839889166e-18, 1.0]"
24,"[8.741131622168899e-52, 3.919412522141023e-22, 1.0]"
25,"[2.917193613937189e-55, 1.3080262869909936e-25, 1.0]"
26,"[9.037055328160148e-59, 4.061036347872978e-29, 1.0]"
27,"[1.7059117431540628e-60, 7.382507381389383e-31, 1.0]"
