Timestep,Probs
1,"[0.333333333333333, 0.333333333333333, 0.333333333333333]"
2,"[0.1681415929203568, 0.44247787610619277, 0.3893805309734503]"
3,"[0.1681415929203539, 0.44247787610619477, 0.3893805309734513]"
4,"[9.718942383536804e-8, 0.04545477494249121, 0.9545451278680841]"
5,"[2.4865285124784978e-30, 5.890309557718287e-16, 1.0000000000000009]"
6,"[8.099838114405618e-100, 1.0631134775859174e-50, 1.0000000000000016]"
7,"[4.0581586367164884e-203, 1.6951489010909006e-77, 1.000000000000002]"
8,"[9.700012459702566e-265, 1.9949011804572812e-97, 1.0000000000000004]"
9,"[0.0, 2.4748476808256706e-130, 0.9999999999999993]"
10,"[0.0, 1.2939270117358201e-180, 0.9999999999999992]"
11,"[0.0, 2.2445191426691095e-220, 0.9999999999999988]"
12,"[0.0, 9.266296933948046e-257, 0.999999999999998]"
13,"[0.0, 2.586635e-317, 1.0000000000000004]"
14,"[0.0, 0.0, 1.0000000000000027]"
15,"[0.0, 0.0, 0.999999999999999]"
16,"[1.3496764771745685e-21, 1.867812588980161e-108, 0.9999999999999974]"
17,"[1.3394768895890066e-40, 2.565325414441945e-214, 0.9999999999999979]"
18,"[1.949293033360461e-76, 2.26032017721228e-288, 1.0000000000000007]"
19,"[1.9237080881699897e-136, 0.0, 0.9999999999999993]"
