Timestep,Probs
1,"[0.34507042253521103, 0.3239436619718308, 0.3309859154929575]"
2,"[0.37381897274138015, 0.3177597633004813, 0.30842126395813885]"
3,"[0.41557105728651095, 0.31169137000662056, 0.2727375727068686]"
4,"[0.4400077730643059, 0.33998832802369705, 0.22000389891199687]"
5,"[0.4482830422116812, 0.3793039585966398, 0.1724129991916795]"
6,"[0.5132523751443087, 0.32744899586193704, 0.15929862899375408]"
7,"[0.5238186325780826, 0.3174506982828961, 0.15873066913902106]"
8,"[0.534881544581358, 0.3255766751385128, 0.13954178028012976]"
9,"[0.2651772352984923, 0.49549460761111935, 0.23932815709038818]"
10,"[0.614211210864992, 0.22865884415203636, 0.15712994498297134]"
11,"[0.8849378926004695, 0.0707974024866068, 0.044264704912924405]"
12,"[0.982089243253378, 0.01278947608516097, 0.005121280661460542]"
13,"[0.9444550175029283, 0.027772491248536313, 0.02777249124853508]"
14,"[0.7334063620104362, 0.13328565963754205, 0.13330797835202263]"
15,"[0.39259530134121284, 0.3543464896388498, 0.25305820901993764]"
16,"[0.12466666146674435, 0.486310818330991, 0.3890225202022647]"
17,"[0.0074599411044094935, 0.5756547574357801, 0.41688530145981123]"
18,"[0.0009605388434438289, 0.5994205105131789, 0.39961895064337655]"
19,"[0.00032539443582634757, 0.6039670174150694, 0.3957075881491044]"
20,"[2.3982235945239306e-17, 0.5454896590900985, 0.4545103409099011]"
21,"[3.761791484677555e-16, 0.5940578230240727, 0.4059421769759271]"
22,"[6.439637336364674e-33, 0.5797287732108082, 0.42027122678919243]"
23,"[3.3878630799428974e-49, 0.6087023005713198, 0.39129769942867965]"
24,"[6.324057065077521e-69, 0.5862057096267844, 0.41379429037321536]"
25,"[1.0535660020374922e-22, 0.5714332777940203, 0.4285667222059794]"
26,"[6.803882045512075e-41, 0.5815588444168666, 0.4184411555831336]"
27,"[4.605661116310418e-77, 0.439057918658413, 0.5609420813415872]"
28,"[5.065491389132357e-66, 0.4462796491690176, 0.5537203508309826]"
29,"[8.561312594091175e-159, 0.49998402727987606, 0.5000159727201238]"
30,"[2.5615408372786714e-291, 0.5199946270163903, 0.4800053729836103]"
31,"[0.0, 0.5754780173927811, 0.4245219826072191]"
32,"[1.3140316698971392e-99, 0.5806040470123962, 0.41939595298760485]"
33,"[1.0614193722926307e-168, 0.5769237394599591, 0.4230762605400399]"
34,"[2.981249580607966e-210, 0.5000381206358003, 0.4999618793642004]"
35,"[6.061790191651755e-27, 0.520333144865533, 0.47966685513446666]"
36,"[2.4221533671792512e-54, 0.5064993354165993, 0.49350066458340197]"
37,"[7.525212224232605e-82, 0.548376627035162, 0.4516233729648377]"
38,"[1.0745306129237955e-119, 0.5853512805734513, 0.4146487194265485]"
39,"[1.625333361328063e-82, 0.5847314526951565, 0.4152685473048439]"
40,"[2.111862566079847e-179, 0.6216173234620329, 0.37838267653796737]"
41,"[1.2265395230695928e-275, 0.6567731793866862, 0.34322682061331405]"
42,"[3.3580576853449035e-124, 0.6379364087486712, 0.3620635912513299]"
43,"[1.060323207182741e-276, 0.6493448240892932, 0.3506551759107055]"
44,"[0.0, 0.892221954052017, 0.10777804594798233]"
45,"[6.795615482020078e-131, 0.9611177627104178, 0.038882237289579964]"
46,"[9.162052693519548e-242, 0.9923783009590665, 0.007621699040934278]"
47,"[0.0, 0.9990337580227603, 0.0009662419772389712]"
