Timestep,Probs
1,"[0.3273809523809523, 0.3333333333333332, 0.33928571428571414]"
2,"[0.31410736102819303, 0.3461492146394457, 0.3397434243323611]"
3,"[0.3088233136709511, 0.36029016194806646, 0.3308865243809831]"
4,"[0.3225754092438242, 0.3387150006777598, 0.33870959007841644]"
5,"[0.3125033676579572, 0.35713943598204806, 0.33035719635999444]"
6,"[0.3163315615828512, 0.3571399218361493, 0.32652851658100013]"
7,"[0.3186789713119263, 0.3626383734749662, 0.31868265521310823]"
8,"[0.03712647291088132, 0.9193264803234976, 0.04354704676562081]"
9,"[0.021852304207191295, 0.9762308208282396, 0.001916874964568337]"
10,"[0.015355832133097515, 0.9826240024838556, 0.0020201653830481925]"
11,"[0.00104095527180895, 0.9988220770756967, 0.00013696765249228274]"
12,"[6.367386977240331e-5, 0.9999296129375179, 6.713192709462676e-6]"
13,"[3.786771677929573e-6, 0.9999959136375015, 2.995908189730852e-7]"
14,"[2.1614890395150602e-7, 0.999999772474839, 1.1376258102736831e-8]"
15,"[1.2426237792280095e-8, 0.9999999869197487, 6.540125153831619e-10]"
16,"[3.7955957994333184e-10, 0.9999999995804865, 3.995363999385221e-11]"
17,"[2.2828613671494143e-11, 0.9999999999747693, 2.4030119654204324e-12]"
18,"[1.3693129366500156e-12, 0.9999999999984865, 1.4413820385789616e-13]"
19,"[7.951351975697151e-23, 0.9999999999999983, 8.947331111891278e-67]"
20,"[1.6826727614861664e-70, 1.000000000000003, 1.7868395131621536e-162]"
21,"[2.0525080042241313e-115, 1.0000000000000016, 2.1779637665320904e-254]"
22,"[5.2427945861935046e-183, 1.0000000000000013, 0.0]"
23,"[3.255930498810639e-306, 0.9999999999999992, 0.0]"
24,"[0.0, 1.0000000000000018, 0.0]"
25,"[0.0, 0.9999999999999983, 0.0]"
26,"[0.0, 1.0000000000000013, 0.0]"
