Timestep,Probs
1,"[0.3262411347517733, 0.36170212765957477, 0.3120567375886527]"
2,"[0.3211031477937777, 0.35779985908388184, 0.32109699312234086]"
3,"[0.3239461248427781, 0.2957797781616843, 0.3802740969955372]"
4,"[0.2766109313785175, 0.2978782613247943, 0.42551080729668855]"
5,"[0.333322158248294, 0.20003131524466944, 0.4666465265070363]"
6,"[0.3465375442748933, 0.21782303073554016, 0.4356394249895677]"
7,"[0.3382331951883184, 0.22059715739271024, 0.4411696474189708]"
8,"[0.2941172618430717, 0.2156829271239621, 0.4901998110329658]"
9,"[0.21214031298974007, 0.27271988005486436, 0.5151398069553959]"
10,"[0.2340407305150025, 0.23405500595276277, 0.5319042635322336]"
11,"[0.23215836452279642, 0.19643018069825346, 0.5714114547789494]"
12,"[0.27776380255567445, 0.19444677220237783, 0.5277894252419473]"
13,"[0.27272339161372555, 0.22726898477037763, 0.5000076236158962]"
14,"[0.25758022211511644, 0.2121199707021012, 0.5302998071827821]"
15,"[0.23078086795032252, 0.2499837997173585, 0.5192353323323186]"
16,"[0.2000134230253333, 0.28570195690459044, 0.5142846200700765]"
17,"[0.4045037916147034, 0.13565572376883067, 0.4598404846164658]"
18,"[0.6791151904363928, 0.10379665920071343, 0.2170881503628938]"
19,"[0.7942938473503703, 0.056760196814499245, 0.14894595583513154]"
20,"[0.7958127667437687, 0.05759199234429931, 0.14659524091193127]"
21,"[0.8353852244439091, 0.041392028544598274, 0.12322274701149198]"
22,"[0.8155452113663957, 0.026409800429488598, 0.15804498820411664]"
23,"[0.8207478342747538, 0.02827824139169163, 0.15097392433355306]"
