Timestep,Probs
1,"[0.3421052631578944, 0.29824561403508754, 0.35964912280701716]"
2,"[0.22449522198178648, 0.34014160013835254, 0.4353631778798606]"
3,"[0.06356935350070815, 0.3501167156225996, 0.586313930876692]"
4,"[0.06000442584077012, 0.36999511459377293, 0.570000459565457]"
5,"[0.014799868707676064, 0.35292839257400305, 0.6322717387183209]"
6,"[0.006919579892431457, 0.12462207587741567, 0.868458344230154]"
7,"[0.028360421912414627, 0.3722782537198331, 0.599361324367752]"
8,"[0.030423253314273483, 0.5779398330904362, 0.39163691359529024]"
9,"[0.0030016432659859963, 0.7125672778933043, 0.2844310788407085]"
10,"[2.344332156966605e-9, 0.7708324119263157, 0.22916758572935206]"
11,"[6.514238388375503e-25, 0.8450277766093571, 0.15497222339064304]"
12,"[1.0514717689147903e-24, 0.8386982775644922, 0.16130172243550595]"
13,"[4.806726214449017e-61, 0.8749857755848646, 0.1250142244151347]"
14,"[1.2901987190086372e-83, 0.8529417603763778, 0.1470582396236222]"
15,"[3.621114466556727e-39, 0.8070246205100163, 0.1929753794899821]"
16,"[5.923835352775144e-131, 0.824325858459023, 0.17567414154097627]"
17,"[2.149642527484512e-194, 0.5926691491728197, 0.407330850827181]"
18,"[8.878553107904701e-66, 0.23636508062341352, 0.7636349193765857]"
19,"[4.0204630737114445e-160, 0.15000935275177305, 0.8499906472482273]"
20,"[1.4418178875215965e-292, 0.04264522140283299, 0.9573547785971668]"
21,"[6.158826274796539e-139, 5.153715597807319e-40, 1.0000000000000007]"
22,"[2.0416075286578095e-285, 6.073485126216239e-105, 1.0000000000000007]"
23,"[0.0, 7.839266624543776e-170, 1.0000000000000013]"
24,"[3.539626499537924e-184, 1.5935921684690323e-116, 0.999999999999999]"
25,"[0.0, 5.107708164254485e-237, 0.9999999999999983]"
26,"[0.0, 0.0, 1.0000000000000004]"
27,"[0.0, 0.0, 0.9999999999999998]"
