Timestep,Probs
1,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,"[0.19999972991715773, 0.4000001350414211, 0.4000001350414211]"
3,"[0.1999997299170929, 0.40000013504145354, 0.40000013504145354]"
4,"[0.199999729917094, 0.4000001350414615, 0.40000013504144444]"
5,"[0.19999972991539952, 0.40000013504230447, 0.400000135042296]"
6,"[0.20000073738517363, 0.3999996347600376, 0.3999996278547887]"
7,"[0.1995713925515184, 0.400212835525609, 0.4002157719228726]"
8,"[0.1995713925515184, 0.400212835525609, 0.4002157719228726]"
9,"[0.1995713925515184, 0.400212835525609, 0.4002157719228726]"
10,"[0.1995713925515184, 0.400212835525609, 0.4002157719228726]"
11,"[0.1995713925515184, 0.400212835525609, 0.4002157719228726]"
12,"[0.1995713925515184, 0.400212835525609, 0.4002157719228726]"
13,"[0.33273699303097476, 7.508959407115887e-8, 0.6672629318794312]"
14,"[0.3327370180160596, 8.450175577846444e-15, 0.667262981983932]"
15,"[0.9999997749291201, 2.8579174263339374e-21, 2.2507087991376678e-7]"
16,"[0.9999999999247251, 3.216145734643003e-28, 7.527493288421062e-11]"
17,"[0.9999999999247502, 3.6095854243548354e-35, 7.524976506930805e-11]"
18,"[0.9999997756076288, 3.609597608849502e-35, 2.2439237117831553e-7]"
19,"[0.33400282863482356, 1.2056160821203147e-35, 0.6659971713651764]"
20,"[5.62858644206465e-8, 2.0316936378084022e-42, 0.9999999437141356]"
21,"[1.8875509150044817e-11, 6.813349737465826e-46, 0.9999999999811245]"
22,"[1.882493804833895e-11, 6.7950955843108185e-46, 0.9999999999811751]"
23,"[0.00016719898112872017, 6.035211779115833e-39, 0.9998328010188712]"
24,"[0.0001671989811287202, 6.035211779115834e-39, 0.9998328010188713]"
25,"[0.0001671989811287202, 6.035211779115834e-39, 0.9998328010188713]"
26,"[0.0001671989811287202, 6.035211779115834e-39, 0.9998328010188713]"
27,"[1.8818811403841784e-11, 6.036221029008179e-39, 0.9999999999811813]"
28,"[2.1177667898993062e-18, 6.036221029121773e-39, 1.0]"
29,"[2.3832153926804326e-25, 6.036221029121773e-39, 1.0]"
30,"[2.6819411433214784e-32, 6.7928352502071094e-46, 1.0]"
31,"[3.001976346901213e-39, 7.603422363267063e-53, 1.0]"
32,"[2.0127695461184308e-42, 5.097926365656831e-56, 1.0]"
33,"[2.2650655788865565e-49, 5.736939709176191e-63, 1.0]"
34,"[2.542161648032437e-56, 6.438766410697337e-70, 1.0]"
35,"[8.525158668909993e-60, 2.159241389071121e-73, 1.0]"
36,"[9.593767654848087e-67, 2.4298973194511087e-80, 1.0]"
37,"[1.079632436248764e-73, 2.734479359115646e-87, 1.0]"
38,"[1.2117089077675799e-80, 3.069000973201174e-94, 1.0]"
39,"[4.06349709829661e-84, 1.029197397933521e-97, 1.0]"
