Timestep,Probs
1,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2,"[0.18645945311979115, 0.4067542312506204, 0.4067863156295884]"
3,"[0.18161265151131253, 0.40917919630130417, 0.40920815218738327]"
4,"[0.03127181633700331, 0.07017221249200095, 0.8985559711709957]"
5,"[0.003114562944029948, 0.006984863361676941, 0.9899005736942932]"
6,"[0.0002675573707850795, 0.0006039039326368373, 0.9991285386965781]"
7,"[6.718044996255684e-5, 0.00017484983344427755, 0.9997579697165931]"
8,"[6.718044996255684e-5, 0.00017484983344427755, 0.9997579697165931]"
9,"[6.717871443273607e-5, 0.00017484984642873104, 0.9997579714391386]"
10,"[6.717629571426049e-5, 0.00017484984606698923, 0.9997579738582189]"
11,"[6.730732017942252e-5, 0.00017475245809279552, 0.9997579402217277]"
12,"[6.730664606871848e-5, 0.00017475811857165633, 0.9997579352353596]"
13,"[0.0008452326361560304, 0.0001739667949489805, 0.9989808005688949]"
14,"[0.002044365429894928, 3.374453533379878e-5, 0.9979218900347712]"
15,"[0.00016283360214006077, 2.7819615882218216e-6, 0.9998343844362717]"
16,"[1.6470985293116667e-5, 2.450757757108549e-7, 0.9999832839389312]"
17,"[8.640087395585112e-6, 9.073846997282354e-8, 0.9999912691741345]"
18,"[8.633752163092527e-6, 9.067718822785892e-8, 0.9999912755706487]"
19,"[8.703793382514921e-6, 9.138526526118503e-8, 0.9999912048213523]"
