Timestep,Probs
1,"[0.33333333333333354, 0.33333333333333354, 0.33333333333333354]"
2,"[0.33333333333333304, 0.3265329408602752, 0.3401337258063909]"
3,"[0.32179930930586587, 0.3321799309305871, 0.3460207597635488]"
4,"[0.49382712595777667, 6.668843719325036e-8, 0.5061728073537856]"
5,"[0.48750000595306564, 2.9420814959048545e-22, 0.5124999940469335]"
6,"[0.8510626796788571, 1.178659082228505e-41, 0.14893732032114373]"
7,"[0.9999999999999906, 5.101411195964234e-40, 5.556498055951358e-15]"
8,"[1.0000000000000004, 5.78377781510279e-112, 8.224600488811073e-30]"
9,"[0.9999999999999993, 8.307582503320343e-184, 1.4732975582297973e-36]"
10,"[1.0000000000000036, 4.586217286105607e-53, 8.278122201420646e-51]"
