Timestep,Probs
1,"[0.33333333333333315, 0.33333333333333315, 0.33333333333333315]"
2,"[0.5784313725490139, 7.44950914652591e-15, 0.4215686274509785]"
3,"[0.5784313725490198, 1.9161697248280044e-70, 0.4215686274509807]"
4,"[0.615384576894587, 4.2392069384530385e-131, 0.3846154231054128]"
5,"[4.2013120399434507e-7, 2.731013060502226e-222, 0.9999995798687965]"
6,"[5.140419520989182e-30, 2.0607258265586034e-132, 0.9999999999999982]"
7,"[7.864128397570744e-49, 2.844775106969036e-223, 1.0000000000000018]"
8,"[3.548467306596544e-36, 4.699402242329109e-63, 0.9999999999999972]"
9,"[6.346170950761272e-69, 3.733872934225202e-126, 1.0000000000000004]"
10,"[2.801974841901889e-22, 5.9514008307831206e-77, 0.9999999999999977]"
11,"[4.493837766485483e-50, 1.487605217643109e-151, 0.9999999999999976]"
12,"[6.404456178459857e-71, 1.247384460294391e-229, 1.0000000000000013]"
13,"[2.530739197194045e-98, 9.728765e-318, 1.0]"
14,"[0.0, 0.0, 0.9999999999999968]"
15,"[0.0, 0.0, 1.000000000000015]"
16,"[0.0, 0.0, 1.000000000000015]"
17,"[0.0, 0.0, 1.0000000000000402]"
18,"[0.0, 0.0, 0.9999999999999875]"
